time,session 
40,38874.656 
50,38874.656 
60,37167.0 
70,37167.0 
80,37167.0 
90,37167.0 
100,37167.0 
110,37167.0 
120,37167.0 
130,37167.0 
140,37167.0 
150,37167.0 
160,35000.37 
170,35000.37 
180,35000.37 
190,35000.37 
200,35000.37 
210,35000.37 
220,35000.37 
230,34823.438 
240,34823.438 
250,34823.438 
260,34823.438 
270,34823.438 
280,34823.438 
290,34823.438 
300,34823.438 
310,34488.882 
320,34488.882 
330,34488.882 
340,34488.882 
350,33552.255 
360,33552.255 
370,33552.255 
380,33552.255 
390,33552.255 
400,33552.255 
410,33552.255 
420,33552.255 
430,33552.255 
440,33552.255 
450,33552.255 
460,33552.255 
470,33552.255 
480,33552.255 
490,33552.255 
500,33552.255 
510,33552.255 
520,33552.255 
530,33552.255 
540,33552.255 
550,33552.255 
560,33552.255 
570,33552.255 
581,33552.255 
591,33552.255 
601,33552.255 
611,33552.255 
621,33552.255 
630,33552.255 
640,33552.255 
650,33552.255 
660,33552.255 
670,33552.255 
680,33552.255 
691,33552.255 
701,33552.255 
710,33552.255 
720,33552.255 
730,33552.255 
740,33552.255 
750,33552.255 
760,33552.255 
770,33552.255 
780,33552.255 
790,33552.255 
