time,size_sent,size_rcv 
0,5.7,185.81640625 
10,38.14375,511.97109375 
20,95.08984375,922.65625 
30,145.25234375,1391.99609375 
40,144.6078125,1410.6390625 
50,137.94375,1196.52734375 
60,132.09375,1333.68125 
70,155.93984375,1476.246875 
80,192.40703125,1851.2015625 
90,256.18671875,2361.65546875 
100,255.740625,2347.7421875 
110,233.0796875,2112.12109375 
120,228.12890625,2080.67890625 
130,239.1359375,2393.1859375 
140,337.18203125,3065.82265625 
150,371.27734375,3428.65234375 
160,396.34296875,3589.31875 
170,375.41953125,3359.63671875 
180,338.05703125,3214.196875 
190,424.2140625,4116.32578125 
200,457.6203125,4362.63359375 
210,567.4296875,5427.20234375 
220,660.56328125,6135.76484375 
230,701.4734375,6520.153125 
240,772.721875,7157.15703125 
250,759.95625,7053.33125 
260,824.75390625,7568.97734375 
270,926.12890625,8607.64375 
280,989.5796875,9054.81640625 
290,1041.51328125,9740.03046875 
300,1085.83515625,9990.31015625 
310,1200.1109375,11466.64375 
320,1365.77734375,12681.05859375 
330,1505.2234375,14003.6078125 
340,1659.31875,15403.9359375 
350,1735.9640625,15449.35625 
360,1730.69453125,16625.184375 
370,1765.24453125,15646.1484375 
380,1734.42109375,15667.16328125 
390,1667.7015625,15407.659375 
400,1594.19140625,14538.49921875 
410,1576.1875,14027.06640625 
420,1510.240625,14276.21484375 
430,1458.02265625,12890.88046875 
440,1430.77890625,13310.54609375 
450,1477.44296875,13581.6765625 
460,1382.63046875,12820.02734375 
470,1268.64453125,10278.57265625 
480,1044.6859375,7964.42109375 
490,1595.9,13737.68515625 
500,1411.91328125,12494.971875 
510,2153.68359375,15372.26328125 
520,2813.684375,3788.9609375 
530,1657.5203125,5621.025 
540,2829.74609375,10920.2265625 
550,2732.53828125,9481.7328125 
560,3259.94921875,13561.80234375 
570,3548.9703125,12861.21640625 
581,3289.59140625,14208.646875 
591,3557.76015625,16341.48359375 
601,3591.15625,17509.03046875 
611,3800.52578125,20290.584375 
621,3552.521875,20590.959375 
630,3847.71171875,20319.20546875 
640,3126.1015625,17455.6203125 
650,2150.9953125,14327.89296875 
660,1964.0125,13435.50390625 
670,2593.82109375,18134.78828125 
680,3455.43125,20819.0859375 
691,3833.91875,21048.88046875 
701,3698.77265625,20598.53828125 
710,3492.19296875,19875.20859375 
720,2806.990625,14572.32109375 
730,1947.26328125,8979.703125 
740,1255.59375,6226.015625 
750,841.5890625,4421.5203125 
760,530.46015625,2376.475 
770,251.725,1163.7140625 
780,110.75703125,408.3875 
790,42.6140625,175.72578125 
