time,sentpackets@tsung_controller@ip-172-31-30-146 
10,2447 
20,833 
30,648 
40,648 
50,648 
60,648 
70,648 
80,648 
90,648 
100,648 
110,648 
120,648 
130,648 
140,648 
150,648 
160,648 
170,648 
180,648 
190,648 
200,648 
210,648 
220,648 
230,648 
240,648 
250,648 
260,648 
270,648 
280,648 
290,648 
300,648 
310,648 
320,648 
330,648 
340,648 
350,648 
360,648 
370,648 
380,648 
390,648 
400,648 
410,648 
420,648 
430,648 
440,648 
450,648 
460,648 
470,648 
480,648 
490,648 
500,648 
510,648 
520,648 
530,648 
540,648 
550,648 
560,648 
570,648 
581,648 
591,648 
601,648 
611,648 
621,648 
630,648 
640,648 
650,648 
660,648 
670,648 
680,648 
691,648 
701,648 
710,648 
720,648 
730,648 
740,648 
750,648 
760,648 
770,648 
780,648 
790,442 
