time,session 
40,37518.43779999999 
50,45284.822571428565 
60,51074.10463636364 
70,53068.20625000002 
80,52711.24138461539 
90,55367.39314285714 
100,57027.978428571434 
110,46666.693999999996 
120,46184.87335714285 
130,46552.25360000002 
140,49547.45047619048 
150,50890.0801 
160,54137.301 
170,49558.72563636363 
180,49676.64253846155 
190,48401.60968181817 
200,51385.91415789473 
210,51619.96129629629 
220,52217.58392000001 
230,48956.93709090909 
240,48664.03884374999 
250,49061.14567441861 
260,52533.437866666674 
270,49842.85123076923 
280,52240.58477777777 
290,60716.43184375 
300,57848.95606250001 
310,63312.12229032261 
320,66160.41042307692 
330,70311.40948148147 
340,77441.99794736842 
350,79937.5395769231 
360,85579.44421052632 
370,87147.9214888889 
380,86187.00460563377 
390,83199.31476470584 
400,79417.8056791045 
410,74354.41874390251 
420,72915.19539041091 
430,68085.98887974679 
440,69935.51012048197 
450,67834.52618478253 
460,67649.44658536583 
470,67412.85789873412 
480,67083.7110653595 
490,67065.53779775277 
500,65895.53009178743 
510,65356.00343750003 
520,64722.436309090925 
530,65343.02023188405 
540,64092.07424561404 
550,62433.176539473636 
560,61725.1299757085 
570,61995.949034749014 
580,63748.75015573769 
590,61028.404254612586 
600,59148.54663698629 
610,59633.31895709575 
620,59518.21950641026 
630,59117.375461538475 
640,60017.42334090909 
650,57920.589701923076 
660,57381.0937747748 
670,58267.16547512441 
680,59411.511186390555 
690,58443.749220588244 
700,58702.89552567979 
710,58893.667781579 
720,57916.16053101731 
730,59087.51087798408 
740,60119.40367076928 
750,61551.46363580242 
760,63832.45211312217 
770,69640.19953076917 
780,75202.39292517009 
790,83715.3965612903 
800,93418.18731944448 
810,100222.39557142858 
820,119600.60079999999 
830,137620.666 
833,124526.967 
