time,page 
0,1.9 
10,3.5 
20,7.8 
30,13.2 
40,18.9 
50,21.9 
60,21.5 
70,20.1 
80,19 
90,19.5 
100,24.2 
110,27.2 
120,29.6 
130,31.1 
140,34.1 
150,33.4 
160,34.9 
170,38.4 
180,43.6 
190,50 
200,55.7 
210,62.3 
220,64.4 
230,69.4 
240,70.1 
250,73.4 
260,75.1 
270,85.5 
280,89.7 
290,85.3 
300,94.3 
310,75.6 
320,88.2 
330,89.1 
340,88.9 
350,125.1 
360,170.8 
370,212.4 
380,259.7 
390,295.9 
400,316 
410,311 
420,326.9 
430,335.4 
440,330.5 
450,327.1 
460,334.5 
470,354.2 
480,363.9 
490,403.4 
500,427.8 
510,436.1 
520,444.2 
530,467.8 
540,484.4 
550,502.9 
560,493 
570,548 
580,572.9 
590,607.4 
600,621.7 
610,635.5 
620,636.1 
630,674.2 
640,649.2 
650,694.9 
660,706.9 
670,713.7 
680,723.8 
690,743.5 
700,731.1 
710,766.9 
720,711.6 
730,613.3 
740,470.8 
750,313.5 
760,189 
770,101.3 
780,80 
790,63.5 
800,27.8 
810,8.3 
820,2.8 
830,0.4 
833,0.1 
