time,connect,request 
0,0.9,1.1 
10,1.3,4.4 
20,1.5,12.3 
30,1,23 
40,0.9,30.5 
50,0.4,32.6 
60,1.8,31.5 
70,1.6,24.3 
80,1.1,27.6 
90,1.6,35 
100,0.8,39.6 
110,1.3,40.8 
120,1.6,38.1 
130,1.5,42.3 
140,2.8,46 
150,2.3,50.1 
160,1.7,55.3 
170,1.5,57.5 
180,3,57.1 
190,4.3,60.3 
200,3.7,74.1 
210,4.4,101.3 
220,3.4,112.2 
230,5,110.5 
240,4.1,114.3 
250,6.5,128.5 
260,7.4,136.9 
270,6.7,163.6 
280,5.8,172.9 
290,6,184.3 
300,7.3,191.3 
310,11.3,189.8 
320,8.7,200 
330,9.2,221.6 
340,11.7,236 
350,10.9,242.2 
360,11.3,239.3 
370,14.6,232.8 
380,16.7,231.8 
390,20.7,243.9 
400,24.1,240.1 
410,31.3,268.1 
420,54.5,306 
430,97.5,390.6 
440,145.6,475.3 
450,190.7,524.2 
460,239.1,607 
470,257,629.2 
480,267.6,628.5 
490,254.4,607.9 
500,260.5,625 
510,267.6,642.3 
520,277.1,641 
530,308.8,716.1 
540,320.2,739 
550,355.1,787.9 
560,362.3,802.2 
570,392.9,849.4 
580,426.5,880.4 
590,480.9,946.2 
600,476.8,959.8 
610,450,921 
620,487.6,983.3 
630,533.1,1005.3 
640,560,1045 
650,568.8,1069.3 
660,562.4,1068.4 
670,597,1106.2 
680,583.9,1100.9 
690,570.7,1062.2 
700,570.3,1072.2 
710,581.1,1093.7 
720,566.3,1092.7 
730,567.8,1060 
740,481.4,881.8 
750,344.1,636.9 
760,197.2,368.3 
770,127.3,247 
780,86.9,173 
790,32.3,85.9 
800,8.6,29 
810,2.5,9.2 
820,2.7,5.6 
830,2.6,4.3 
840,1.4,2.1 
850,0,0.3 
860,0,0.1 
870,0,0 
880,0,0 
890,0,0 
900,0,0.4 
903,0,0 
