time,session 
40,0.5 
50,0.5 
60,0.6 
70,0.7 
80,0.9 
90,1.1 
100,1.2 
110,1.3 
120,1.2 
130,1.9 
140,1.9 
150,1.1 
160,1.5 
170,2 
180,2.3 
190,2.2 
200,2 
210,1.9 
220,2.7 
230,2.9 
240,3.4 
250,5 
260,3.9 
270,4 
280,4.4 
290,5.6 
300,5 
310,5.3 
320,6.6 
330,5.5 
340,6.1 
350,10.6 
360,9 
370,10.6 
380,9.5 
390,9.8 
400,10.4 
410,12.2 
420,13.9 
430,14.6 
440,13 
450,11.3 
460,10.6 
470,11.7 
480,14.1 
490,14.4 
500,12.2 
510,12.4 
520,14 
530,14.8 
540,17.2 
550,21.4 
560,27.7 
570,24.8 
580,24.6 
590,27.5 
600,25.6 
610,27.5 
620,30.3 
630,29 
640,29.5 
650,27.9 
660,28.5 
670,30.6 
680,30.4 
690,30.9 
700,28 
710,30.3 
720,27.9 
730,34.3 
740,33.6 
750,39.9 
760,38.2 
770,27 
780,8.2 
790,1.4 
800,0.2 
810,0.1 
820,0.1 
830,0 
838,0.2 
