time,sentpackets@tsung_controller@ip-172-31-17-128 
10,749 
20,748.0 
30,639.0 
40,966.0 
50,1161.0 
60,1183.0 
70,1216.0 
80,997.0 
90,1112.0 
100,1358.0 
110,1527.0 
120,1521.0 
130,1474.0 
140,1550.0 
150,1790.0 
160,2005.0 
170,2048.0 
180,2250.0 
190,2288.0 
200,2627.0 
210,3059.0 
220,3983.0 
230,4286.0 
240,4553.0 
250,4606.0 
260,5236.0 
270,5635.0 
280,6546.0 
290,6765.0 
300,7365.0 
310,7715.0 
320,8082.0 
330,8078.0 
340,9153.0 
350,9994.0 
360,10022.0 
370,10057.0 
380,10279.0 
390,10182.0 
400,10914.0 
410,10532.0 
420,11316.0 
430,12985.0 
440,15546.0 
450,18661.0 
460,21890.0 
470,23403.0 
480,24317.0 
490,24684.0 
500,24115.0 
510,24550.0 
520,24924.0 
530,26115.0 
540,27241.0 
550,28154.0 
560,30588.0 
570,30406.0 
580,32302.0 
590,32569.0 
600,35152.0 
610,37103.0 
620,36752.0 
630,35942.0 
640,37855.0 
650,38648.0 
660,40915.0 
670,43221.0 
680,42105.0 
690,41224.0 
700,40265.0 
710,39891.0 
720,41195.0 
730,41716.0 
740,36414.0 
750,29726.0 
760,20705.0 
770,12944.0 
780,10583.0 
790,6022.0 
800,2736.0 
810,714.0 
820,295.0 
830,254.0 
840,183.0 
850,50.0 
860,6.0 
870,0.0 
880,0.0 
890,1.0 
900,241.0 
