time,session 
40,45314.43 
50,47830.515 
60,65637.948 
70,68450.604 
80,81421.215 
90,81421.215 
100,81421.215 
110,81421.215 
120,81421.215 
130,103508.014 
140,103508.014 
150,103508.014 
160,103508.014 
170,103508.014 
180,103508.014 
190,103508.014 
200,103508.014 
210,103508.014 
220,103508.014 
230,103508.014 
240,103508.014 
250,103508.014 
260,103508.014 
270,103508.014 
280,103508.014 
290,108896.58 
300,108896.58 
310,108896.58 
320,108896.58 
330,108896.58 
340,108896.58 
350,108896.58 
360,108896.58 
370,108896.58 
380,108896.58 
390,120238.903 
400,120238.903 
410,120238.903 
420,120238.903 
430,120238.903 
440,120238.903 
450,120238.903 
460,120238.903 
470,138011.954 
480,140007.251 
490,173106.994 
500,173106.994 
510,173106.994 
520,173851.094 
530,173851.094 
540,173851.094 
550,173851.094 
560,181033.851 
570,193515.546 
580,193515.546 
590,195133.273 
600,196054.889 
610,201313.528 
620,201313.528 
630,221687.574 
640,221687.574 
650,221687.574 
660,221687.574 
670,221687.574 
680,221687.574 
690,221687.574 
700,221687.574 
710,221687.574 
720,221687.574 
730,221687.574 
740,221687.574 
750,221687.574 
760,221687.574 
770,221687.574 
780,221687.574 
790,221687.574 
800,221687.574 
810,221687.574 
820,221687.574 
828,221687.574 
