time,page 
0,7.305 
10,7.305 
20,6.864 
30,6.042 
40,6.042 
50,6.042 
60,6.042 
70,6.042 
80,6.042 
90,6.042 
100,6.042 
110,6.004 
120,6.004 
130,5.944 
140,5.63 
150,5.63 
160,5.63 
170,5.63 
180,5.63 
190,5.63 
200,5.443 
210,5.443 
220,5.443 
230,5.327 
240,5.327 
250,5.327 
260,5.234 
270,5.234 
280,5.234 
290,5.234 
300,5.056 
310,5.056 
320,5.056 
330,5.056 
340,5.056 
350,5.056 
360,5.056 
370,5.056 
380,5.056 
390,5.056 
400,5.056 
410,5.056 
420,5.056 
430,1.082 
440,1.082 
450,0.797 
460,0.76 
470,0.76 
480,0.76 
490,0.76 
500,0.76 
510,0.758 
520,0.758 
530,0.758 
540,0.758 
550,0.758 
560,0.746 
570,0.746 
580,0.746 
590,0.746 
600,0.746 
610,0.746 
620,0.746 
630,0.746 
640,0.746 
650,0.746 
660,0.746 
670,0.746 
680,0.746 
690,0.746 
700,0.746 
710,0.746 
720,0.746 
730,0.746 
740,0.746 
750,0.746 
760,0.746 
770,0.746 
780,0.746 
790,0.746 
800,0.746 
810,0.746 
820,0.746 
828,0.746 
