time,load@tsung_controller@ip-172-31-22-253 
0,0.0703125 
10,0.05859375 
20,0.05078125 
30,0.0390625 
40,0.03125 
50,0.03125 
60,0.01953125 
70,0.01953125 
80,0.01953125 
90,0.01171875 
100,0.01171875 
110,0.01171875 
120,0.01171875 
130,0.01171875 
140,0.0 
150,0.0 
160,0.0 
170,0.0 
180,0.0 
190,0.0 
200,0.078125 
210,0.0703125 
220,0.05859375 
230,0.05078125 
240,0.0390625 
250,0.03125 
260,0.03125 
270,0.1015625 
280,0.078125 
290,0.0703125 
300,0.05859375 
310,0.05078125 
320,0.109375 
330,0.1796875 
340,0.30078125 
350,0.328125 
360,0.28125 
370,0.3203125 
380,0.26953125 
390,0.30078125 
400,0.328125 
410,0.359375 
420,0.37890625 
430,0.3984375 
440,0.41015625 
450,0.3515625 
460,0.44921875 
470,0.69140625 
480,0.890625 
490,0.91015625 
500,0.921875 
510,1.01171875 
520,1.08984375 
530,1.0703125 
540,1.140625 
550,1.12109375 
560,1.26171875 
570,1.21875 
580,1.26171875 
590,1.30078125 
600,1.41015625 
610,1.5 
620,1.5 
630,1.421875 
640,1.359375 
650,1.30078125 
660,1.23046875 
670,1.19921875 
680,1.25 
690,1.2109375 
700,1.1796875 
710,1.1484375 
720,1.12890625 
730,1.109375 
740,1.171875 
750,1.140625 
760,1.12109375 
770,1.01953125 
780,0.859375 
790,1.0390625 
800,1.03125 
810,1.01953125 
820,0.859375 
828,0.73046875 
