time,200,500,422,400,302 
0,8,,,, 
10,25,,,,5 
20,60,,,,22 
30,122,3,2,6,92 
40,214,10,4,12,196 
50,319,12,9,24,323 
60,418,14,12,33,430 
70,527,18,15,38,541 
80,648,22,18,44,671 
90,773,27,20,48,810 
100,908,31,23,55,967 
110,1068,32,25,58,1135 
120,1242,34,27,61,1325 
130,1421,41,29,65,1532 
140,1611,50,33,80,1743 
150,1804,55,37,90,1948 
160,2014,58,38,93,2176 
170,2241,63,41,100,2442 
180,2486,72,45,117,2712 
190,2747,77,47,124,2965 
200,3058,96,54,145,3256 
210,3427,115,66,170,3670 
220,3824,154,96,234,4084 
230,4297,205,121,306,4588 
240,4804,266,159,390,5128 
250,5372,326,200,495,5731 
260,5982,411,247,608,6337 
270,6576,494,317,762,7006 
280,7217,584,393,948,7694 
290,7860,688,466,1141,8366 
300,8505,786,535,1297,8993 
310,9187,882,598,1460,9653 
320,9940,1017,697,1693,10386 
330,10784,1220,835,2077,11151 
340,11644,1504,1028,2613,11956 
350,12542,1826,1284,3248,12747 
360,13381,2193,1594,4026,13464 
370,14302,2647,1931,4859,14154 
380,15183,3138,2365,5952,14744 
390,15985,3683,2829,7205,15264 
400,16887,4230,3383,8615,15801 
410,17749,4813,3969,10064,16314 
420,18636,5420,4576,11586,16860 
430,19600,5982,5166,12979,17386 
440,20481,6508,5716,14330,17950 
450,21477,6958,6237,15604,18469 
460,22562,7444,6722,16819,19120 
470,23507,8009,7284,18183,19678 
480,24545,8589,7922,19770,20286 
490,25644,9238,8614,21537,20886 
500,26631,9940,9315,23337,21398 
510,27792,10729,10198,25586,22005 
520,29014,11578,11117,28006,22577 
530,30244,12530,12156,30618,23169 
540,31594,13518,13267,33361,23744 
550,32999,14511,14382,36194,24336 
560,34449,15563,15584,39165,24884 
570,35865,16690,16785,42184,25358 
580,37469,17809,18133,45625,25901 
590,39087,19029,19550,49296,26480 
600,40719,20313,21126,53206,27056 
610,42500,21601,22682,57130,27614 
620,44234,22959,24337,61232,28152 
630,45946,24401,26014,65384,28683 
640,47601,25850,27682,69581,29231 
650,49315,27292,29575,74239,29837 
660,51084,28812,31447,79025,30378 
670,52933,30354,33312,83600,30903 
680,54730,31757,35079,87880,31465 
690,56438,33425,36951,92406,31932 
700,58236,34877,38761,96846,32482 
710,59979,36212,40396,100993,32999 
720,61535,37759,42276,105673,33497 
730,62846,39267,44209,110450,34000 
740,64008,40562,45972,114728,34444 
750,64858,41730,47256,117734,34813 
760,65489,42740,48252,119796,35266 
770,65966,43497,48911,120970,35666 
780,66457,44054,49308,121723,36116 
790,66935,44633,49665,122382,36526 
800,67423,44887,49865,122677,36887 
810,67577,44895,49876,122691,37052 
820,67595,44897,49877,122692,37075 
829,67596,44897,49877,122692,37078 
