time,session 
40,36907.908 
50,36907.908 
60,36907.908 
70,36907.908 
80,36907.908 
90,36907.908 
100,36907.908 
110,36555.182 
120,36555.182 
130,36555.182 
140,36555.182 
150,36555.182 
160,36555.182 
170,33983.696 
180,33983.696 
190,33983.696 
200,33983.696 
210,33983.696 
220,33983.696 
230,33983.696 
240,33983.696 
250,33983.696 
260,33983.696 
270,33983.696 
280,33983.696 
290,33983.696 
300,33983.696 
310,33983.696 
320,33983.696 
330,33983.696 
340,33983.696 
350,33983.696 
360,33983.696 
370,33983.696 
380,33983.696 
390,33983.696 
400,33983.696 
410,33983.696 
420,33983.696 
430,33983.696 
440,33983.696 
450,33983.696 
460,33983.696 
470,33983.696 
480,33983.696 
490,33983.696 
500,33983.696 
510,33983.696 
520,33688.92 
530,33688.92 
540,33688.92 
550,33688.92 
560,33688.92 
570,33688.92 
580,33688.92 
590,33688.92 
600,33688.92 
610,33688.92 
620,33688.92 
630,33688.92 
640,33688.92 
650,33688.92 
660,33688.92 
670,33688.92 
680,33688.92 
690,33688.92 
700,33688.92 
710,33688.92 
720,33688.92 
730,33688.92 
740,33688.92 
750,33688.92 
760,33688.92 
770,33688.92 
780,33688.92 
790,33688.92 
800,33688.92 
810,33688.92 
820,33688.92 
830,33688.92 
838,33688.92 
