time,page 
0,1.3 
10,2 
20,7 
30,10 
40,16.3 
50,17.7 
60,19 
70,17.5 
80,17.8 
90,21.6 
100,27.6 
110,29.3 
120,29 
130,28.1 
140,29.5 
150,34.1 
160,36.4 
170,35.4 
180,39.7 
190,43 
200,54 
210,63.6 
220,71.6 
230,75.5 
240,75.2 
250,89.5 
260,96.8 
270,109.8 
280,119.3 
290,121.6 
300,119.6 
310,123.1 
320,135.9 
330,141 
340,135.8 
350,133.8 
360,144.8 
370,136.9 
380,129.3 
390,135.1 
400,149.4 
410,218.4 
420,276.9 
430,335.5 
440,386.5 
450,391.4 
460,419.4 
470,409.9 
480,386.3 
490,387.4 
500,382.2 
510,421.5 
520,431.5 
530,479.1 
540,498.7 
550,530.4 
560,538.9 
570,572.4 
580,599.1 
590,635.5 
600,625 
610,661.1 
620,678.6 
630,674.8 
640,714.1 
650,728.8 
660,733.4 
670,689 
680,740.8 
690,680.5 
700,725.3 
710,732.4 
720,712.7 
730,642.5 
740,502 
750,367 
760,210.1 
770,139.1 
780,106.5 
790,91.1 
800,91.1 
810,99.1 
820,95.5 
830,31.7 
838,0.9 
