time,users_count,finish_users_count 
0,9,0 
10,15,0 
20,30,0 
30,37,0 
40,45,4 
50,54,8 
60,59,17 
70,80,31 
80,97,37 
90,105,47 
100,122,52 
110,136,64 
120,156,82 
130,179,98 
140,194,109 
150,211,121 
160,229,135 
170,253,156 
180,290,175 
190,327,190 
200,366,205 
210,401,229 
220,436,261 
230,482,294 
240,542,325 
250,613,362 
260,681,409 
270,732,444 
280,790,493 
290,849,550 
300,940,620 
310,1046,671 
320,1152,736 
330,1246,785 
340,1338,824 
350,1453,867 
360,1574,914 
370,1728,962 
380,1903,998 
390,2073,1030 
400,2248,1061 
410,2411,1100 
420,2575,1162 
430,2759,1232 
440,2969,1349 
450,3160,1506 
460,3340,1706 
470,3529,1924 
480,3748,2151 
490,4022,2387 
500,4252,2576 
510,4504,2759 
520,4736,2952 
530,4976,3154 
540,5266,3359 
550,5599,3611 
560,5910,3856 
570,6258,4126 
580,6584,4388 
590,6906,4663 
600,7250,4987 
610,7610,5299 
620,8007,5649 
630,8358,5968 
640,8691,6283 
650,8989,6591 
660,9351,6957 
670,9740,7343 
680,10127,7714 
690,10518,8079 
700,10886,8423 
710,11218,8784 
720,11299,9112 
730,11299,9461 
740,11299,9828 
750,11299,10168 
760,11299,10415 
770,11299,10613 
780,11299,10755 
790,11299,10841 
800,11299,10930 
810,11299,11040 
820,11299,11179 
830,11299,11293 
838,11299,11299 
