time,page 
0,1.1 
10,1.6 
20,6.3 
30,8.6 
40,14.6 
50,16.6 
60,21.9 
70,22.6 
80,23.7 
90,24.4 
100,27.8 
110,28.8 
120,28.9 
130,28.2 
140,30.2 
150,36 
160,40.1 
170,39.7 
180,35.3 
190,36.5 
200,47.5 
210,59.1 
220,71.7 
230,76.2 
240,83.4 
250,86.1 
260,83.5 
270,86 
280,89.9 
290,84.8 
300,85.7 
310,123.7 
320,124.7 
330,129 
340,126.8 
350,123.4 
360,121.8 
370,151.7 
380,167.5 
390,220.4 
400,255.1 
410,293.8 
420,299.7 
430,340.9 
440,353.5 
450,373.8 
460,386.1 
470,396.6 
480,418.2 
490,415.1 
500,397.2 
510,424 
520,436.9 
530,438.2 
540,455.4 
550,490.3 
560,514 
570,519 
580,573.2 
590,598.8 
600,629.9 
610,637.4 
620,621.1 
630,633.5 
640,629.1 
650,650.1 
660,619.2 
670,666.2 
680,649.9 
690,649.5 
700,654.1 
710,667.2 
720,618.4 
730,620.2 
740,511.3 
750,367.9 
760,243.7 
770,156.6 
780,138.5 
790,111.8 
800,84 
810,35.1 
820,6.7 
830,2.5 
840,0.4 
845,0.1 
