time,freemem@tsung_controller@ip-172-31-20-240 
0,3514.53515625 
10,3515.25390625 
20,3512.59765625 
30,3509.94140625 
40,3505.10546875 
50,3494.9453125 
60,3490.23046875 
70,3487.45703125 
80,3486.375 
90,3487.82421875 
100,3487.734375 
110,3483.98828125 
120,3476.3828125 
130,3475.89453125 
140,3476.28515625 
150,3477.71875 
160,3472.88671875 
170,3471.68359375 
180,3472.51953125 
190,3472.90625 
200,3471.0859375 
210,3458.63671875 
220,3447.96875 
230,3428.015625 
240,3428.640625 
250,3409.125 
260,3406.0546875 
270,3406.3828125 
280,3405.296875 
290,3389.53125 
300,3383.55078125 
310,3355.65234375 
320,3324.5703125 
330,3314.609375 
340,3293.125 
350,3259.53125 
360,3223.58203125 
370,3214.71484375 
380,3198.97265625 
390,3161.12890625 
400,3124.328125 
410,3111.51953125 
420,3104.09765625 
430,3098.03125 
440,3094.2265625 
450,3088.1171875 
460,3080.0859375 
470,3077.4453125 
480,3077.12890625 
490,3064.2734375 
500,3054.85546875 
510,3050.65625 
520,3046.8984375 
530,3051.26171875 
540,3053.88671875 
550,3035.38671875 
560,3021.296875 
570,3009.7421875 
580,3011.12109375 
590,2991.87890625 
600,2980.3515625 
610,2984.46484375 
620,2988.76953125 
630,2993.03125 
640,2993.015625 
650,2982.21484375 
660,2967.41015625 
670,2955.69921875 
680,2958.25 
690,2961.53515625 
700,2958.62109375 
710,2956.8203125 
720,2966.86328125 
730,2976.26171875 
740,2986.1328125 
750,2998.453125 
760,3007.75390625 
770,3005.52734375 
780,3048.32421875 
790,3044.40625 
800,3127.8828125 
810,3157.90625 
820,3199.03515625 
830,3196.078125 
840,3217.54296875 
845,3218.87109375 
