time,freemem@tsung_controller@ip-172-31-20-240 
0,3514.53515625 
10,3514.53515625 
20,3512.59765625 
30,3509.94140625 
40,3505.10546875 
50,3494.9453125 
60,3490.23046875 
70,3487.45703125 
80,3486.375 
90,3486.375 
100,3486.375 
110,3483.98828125 
120,3476.3828125 
130,3475.89453125 
140,3475.89453125 
150,3475.89453125 
160,3472.88671875 
170,3471.68359375 
180,3471.68359375 
190,3471.68359375 
200,3471.0859375 
210,3458.63671875 
220,3447.96875 
230,3428.015625 
240,3428.015625 
250,3409.125 
260,3406.0546875 
270,3406.0546875 
280,3405.296875 
290,3389.53125 
300,3383.55078125 
310,3355.65234375 
320,3324.5703125 
330,3314.609375 
340,3293.125 
350,3259.53125 
360,3223.58203125 
370,3214.71484375 
380,3198.97265625 
390,3161.12890625 
400,3124.328125 
410,3111.51953125 
420,3104.09765625 
430,3098.03125 
440,3094.2265625 
450,3088.1171875 
460,3080.0859375 
470,3077.4453125 
480,3077.12890625 
490,3064.2734375 
500,3054.85546875 
510,3050.65625 
520,3046.8984375 
530,3046.8984375 
540,3046.8984375 
550,3035.38671875 
560,3021.296875 
570,3009.7421875 
580,3009.7421875 
590,2991.87890625 
600,2980.3515625 
610,2980.3515625 
620,2980.3515625 
630,2980.3515625 
640,2980.3515625 
650,2980.3515625 
660,2967.41015625 
670,2955.69921875 
680,2955.69921875 
690,2955.69921875 
700,2955.69921875 
710,2955.69921875 
720,2955.69921875 
730,2955.69921875 
740,2955.69921875 
750,2955.69921875 
760,2955.69921875 
770,2955.69921875 
780,2955.69921875 
790,2955.69921875 
800,2955.69921875 
810,2955.69921875 
820,2955.69921875 
830,2955.69921875 
840,2955.69921875 
845,2955.69921875 
