time,page 
0,0.5 
10,2.5 
20,5.4 
30,11.1 
40,14.8 
50,18.9 
60,16.7 
70,17.9 
80,19.6 
90,20.7 
100,23.5 
110,24 
120,24.4 
130,27.5 
140,25.4 
150,26.7 
160,28.1 
170,25.9 
180,26.3 
190,27.1 
200,27.1 
210,26.6 
220,38.7 
230,54.9 
240,73.7 
250,85.8 
260,108.1 
270,111.1 
280,112.6 
290,105 
300,106.9 
310,110.8 
320,132.4 
330,158.5 
340,176.6 
350,194.9 
360,191.2 
370,210 
380,229.4 
390,257.2 
400,284 
410,312.2 
420,329.3 
430,324.3 
440,322 
450,323.1 
460,339 
470,328.8 
480,378.2 
490,403.9 
500,416.3 
510,436.9 
520,453 
530,465.8 
540,468.1 
550,459.7 
560,507.3 
570,530.7 
580,569.2 
590,593.8 
600,629.1 
610,648.2 
620,675.3 
630,689.9 
640,661.5 
650,700.4 
660,685.2 
670,698.8 
680,674.5 
690,720.3 
700,715.9 
710,708.8 
720,652.4 
730,560.1 
740,492.4 
750,356 
760,215.1 
770,117.5 
780,41 
790,14.3 
800,4.2 
810,1.7 
820,0.7 
830,0.5 
833,0.1 
