time,users_count,finish_users_count 
0,5,0 
10,17,0 
20,25,0 
30,38,0 
40,44,1 
50,51,10 
60,61,20 
70,73,26 
80,89,36 
90,104,42 
100,115,53 
110,127,62 
120,141,74 
130,163,90 
140,178,97 
150,203,107 
160,224,120 
170,242,125 
180,278,140 
190,317,149 
200,362,153 
210,395,160 
220,435,167 
230,476,177 
240,526,192 
250,580,209 
260,637,245 
270,696,279 
280,739,344 
290,798,407 
300,898,475 
310,990,526 
320,1070,570 
330,1178,624 
340,1277,683 
350,1367,763 
360,1507,860 
370,1659,955 
380,1824,1070 
390,2004,1171 
400,2148,1274 
410,2290,1383 
420,2468,1551 
430,2649,1720 
440,2838,1874 
450,3015,2041 
460,3216,2207 
470,3402,2354 
480,3621,2514 
490,3847,2691 
500,4095,2888 
510,4324,3085 
520,4552,3296 
530,4774,3502 
540,5048,3751 
550,5347,3991 
560,5654,4216 
570,5964,4453 
580,6294,4687 
590,6634,4953 
600,6962,5247 
610,7341,5542 
620,7682,5842 
630,8054,6181 
640,8366,6505 
650,8709,6867 
660,9068,7219 
670,9459,7566 
680,9786,7899 
690,10114,8236 
700,10432,8559 
710,10784,8947 
720,10904,9340 
730,10904,9664 
740,10904,9964 
750,10904,10248 
760,10904,10542 
770,10904,10769 
780,10904,10866 
790,10904,10889 
800,10904,10901 
810,10904,10902 
820,10904,10903 
830,10904,10903 
833,10904,10904 
