time,connect,request 
0,0.9,1.3 
10,0.8,3.7 
20,0.8,8.9 
30,1.3,17.4 
40,1.5,25.1 
50,0.7,27.6 
60,1.1,30.5 
70,2.2,32.8 
80,1.7,33 
90,1.9,36.8 
100,1.9,45.5 
110,0.2,47.2 
120,2.1,50.9 
130,1.8,49.2 
140,1.7,48.7 
150,2.2,54.1 
160,2,52.4 
170,1.4,55.9 
180,4,61 
190,5.2,65.8 
200,4.3,71.3 
210,4.6,73.5 
220,2.8,51 
230,2.9,80 
240,7.4,81.8 
250,11.2,92.5 
260,25.9,117.7 
270,37.9,138.6 
280,46.1,152.1 
290,55.5,161.4 
300,60.7,172.3 
310,68.8,179.3 
320,72,191.1 
330,87.4,218.6 
340,106.9,246.8 
350,122,274.1 
360,151,325.5 
370,157.8,339.2 
380,176.3,370.1 
390,204.6,423.2 
400,212.1,434.4 
410,245.2,486.5 
420,249.6,492.2 
430,244.6,481.1 
440,240.7,487.2 
450,247.9,499 
460,270.8,545.8 
470,299.8,586.7 
480,320.8,619.3 
490,303.8,594.3 
500,334.9,664.6 
510,355.5,687.9 
520,370.8,714.3 
530,378.8,731.1 
540,384.4,745.2 
550,402.5,767 
560,401.8,772.9 
570,445.4,851.4 
580,461.2,889.2 
590,488.5,921.6 
600,501,945 
610,510.7,980.6 
620,531.3,1010.1 
630,525.7,1001.3 
640,562.7,1068.4 
650,566.4,1069.9 
660,547.8,1032.6 
670,523.9,994.7 
680,520.3,990.8 
690,500,958.1 
700,555.6,1058.9 
710,577.9,1088.4 
720,547.6,1038.9 
730,495.1,923.8 
740,371.1,685.3 
750,214.8,406.3 
760,110.4,233 
770,49.1,132 
780,13.4,45.6 
790,4.3,15.6 
800,0.7,4.7 
810,0.5,1.1 
817,0.1,0.3 
