time,sentpackets@tsung_controller@ip-172-31-19-141 
10,816 
20,549.0 
30,430.0 
40,725.0 
50,982.0 
60,1053.0 
70,1239.0 
80,1216.0 
90,1406.0 
100,1476.0 
110,1769.0 
120,1671.0 
130,1980.0 
140,1849.0 
150,2250.0 
160,2006.0 
170,2640.0 
180,2824.0 
190,2786.0 
200,2787.0 
210,2924.0 
220,2997.0 
230,2213.0 
240,2960.0 
250,3438.0 
260,3691.0 
270,4724.0 
280,5815.0 
290,6289.0 
300,6623.0 
310,7416.0 
320,7729.0 
330,8235.0 
340,9113.0 
350,10292.0 
360,11401.0 
370,13455.0 
380,13709.0 
390,14771.0 
400,16630.0 
410,1.81e4 
420,19041.0 
430,19430.0 
440,19120.0 
450,19122.0 
460,19523.0 
470,21210.0 
480,22825.0 
490,23758.0 
500,24058.0 
510,24766.0 
520,26056.0 
530,27217.0 
540,27056.0 
550,28090.0 
560,29336.0 
570,30433.0 
580,32166.0 
590,33347.0 
600,34677.0 
610,35555.0 
620,36177.0 
630,37622.0 
640,39718.0 
650,39992.0 
660,39524.0 
670,38039.0 
680,37665.0 
690,37331.0 
700,38750.0 
710,40265.0 
720,41053.0 
730,37228.0 
740,31452.0 
750,22503.0 
760,13359.0 
770,7601.0 
780,3657.0 
790,1205.0 
800,359.0 
810,114.0 
817,36.0 
