time,session 
40,0.7 
50,0.5 
60,1.1 
70,0.9 
80,1 
90,0.8 
100,1.2 
110,1.7 
120,0.9 
130,1.4 
140,2.2 
150,1.1 
160,1.1 
170,1.7 
180,1.8 
190,1.4 
200,2.5 
210,2.4 
220,3.3 
230,2.8 
240,4.2 
250,4.1 
260,4.4 
270,4 
280,3 
290,6.6 
300,4.3 
310,5.9 
320,5.8 
330,5.6 
340,7.8 
350,8.8 
360,8 
370,9.4 
380,10.1 
390,8.8 
400,11.1 
410,14.9 
420,15.8 
430,15.4 
440,13.3 
450,17.7 
460,14.8 
470,12.3 
480,16.2 
490,13.6 
500,10.5 
510,12 
520,11.1 
530,13.8 
540,13.5 
550,17.4 
560,22.4 
570,26.3 
580,30.1 
590,28.8 
600,30.7 
610,28.1 
620,28.2 
630,29.7 
640,31.7 
650,30.5 
660,34.7 
670,32.3 
