time,session 
40,2547.0755097310466 
50,5825.414103527247 
60,6054.890142661892 
70,10359.953990163816 
80,9449.237073999257 
90,16979.82069197371 
100,11969.294759471504 
110,4964.679469907608 
120,10822.43894957377 
130,12042.62326973003 
140,7850.133079640343 
150,19312.33261280229 
160,4523.736024005818 
170,5749.181238997554 
180,8491.57571053837 
190,16043.768812091408 
200,8254.422350686425 
210,8903.176944788713 
220,11851.808270838106 
230,4785.421645195766 
240,8834.395204165095 
250,9403.934399690224 
260,8058.117270506789 
270,10428.071237867936 
280,13734.143717576033 
290,10793.362747525349 
300,11383.046179348477 
310,8126.000762632984 
320,8937.880553474222 
330,7885.940404728589 
340,8138.24481359152 
350,10355.846505981155 
360,9598.407270137768 
370,10065.906431270625 
380,7410.38919170883 
390,8870.75132861407 
400,9807.38731198195 
410,9235.26684541745 
420,10087.19330339232 
430,8433.022213654705 
440,7760.2599409822915 
450,9531.024717046625 
460,9148.83898041457 
470,9306.392678307371 
480,9978.95108245647 
490,8982.192217419355 
500,12344.067562045013 
510,10571.093047841545 
520,9052.53524193241 
530,9274.556749008512 
540,12932.187720181893 
550,10122.599552593078 
560,13722.960390677543 
570,14816.936513207022 
580,16454.223360152653 
590,17349.28179005862 
600,17525.649771931494 
610,18114.951769952102 
620,18701.28458968414 
630,17606.728238045456 
640,19454.028372828157 
650,18740.52048116542 
660,18722.34248085608 
670,17982.866792615994 
