time,users_count,finish_users_count 
0,1.2,0 
10,1.2,0 
20,1.2,0 
30,0.7,0 
40,1,0.7 
50,0.6,0.5 
60,1.4,1.1 
70,1.6,0.9 
80,1.1,1 
90,1.9,0.8 
100,1.1,1.2 
110,1.3,1.7 
120,2.3,0.9 
130,1.7,1.4 
140,1.2,2.2 
150,2.4,1.1 
160,2.9,1.1 
170,1.8,1.7 
180,3.8,1.8 
190,4.7,1.4 
200,3.8,2.5 
210,4.4,2.4 
220,4.4,3.3 
230,3,2.8 
240,4.1,4.2 
250,6.3,4.1 
260,5.1,4.4 
270,5.5,4 
280,6.5,3 
290,6.4,6.6 
300,9.2,4.3 
310,8.5,5.9 
320,9.4,5.8 
330,10.8,5.6 
340,10,7.8 
350,9.5,8.8 
360,14,8 
370,16.7,9.4 
380,16.2,10.1 
390,15.5,8.8 
400,15.5,11.1 
410,19,14.9 
420,15.9,15.8 
430,19.2,15.4 
440,16.6,13.3 
450,18.1,17.7 
460,20.3,14.8 
470,19,12.3 
480,23.9,16.2 
490,23.6,13.6 
500,25.6,10.5 
510,24.2,12 
520,24.5,11.1 
530,22.6,13.8 
540,29.1,13.5 
550,28.8,17.4 
560,30.5,22.4 
570,29.9,26.3 
580,34.6,30.1 
590,31.7,28.8 
600,26.5,30.7 
610,31.1,28.1 
620,33.7,28.2 
630,35,29.7 
640,32.3,31.7 
650,32.9,30.5 
660,37.7,34.7 
670,36.5,32.3 
