time,recvpackets@tsung_controller@ip-172-31-23-36 
10,212 
20,513 
30,868 
40,1502 
50,1914 
60,2481 
70,2481 
80,2481 
90,2481 
100,2726 
110,2847 
120,2864 
130,3204 
140,3204 
150,3620 
160,3620 
170,3662 
180,3942 
190,4869 
200,5590 
210,5929 
220,7242 
230,7392 
240,8179 
250,8598 
260,8679 
270,9170 
280,9796 
290,11622 
300,11622 
310,12249 
320,13689 
330,15685 
340,17881 
350,18767 
360,19379 
370,20664 
380,22965 
390,25331 
400,30102 
410,32407 
420,33850 
430,33850 
440,34889 
450,34889 
460,36588 
470,38241 
480,38241 
490,38241 
500,38241 
510,39182 
520,39806 
530,39806 
540,42312 
550,45392 
560,45732 
570,45732 
580,45732 
590,45732 
600,47295 
610,50037 
620,50282 
630,51916 
640,51916 
650,51916 
660,51916 
670,51916 
