time,connect,request 
0,25.125,996.337 
10,25.125,996.337 
20,25.125,996.337 
30,25.125,996.337 
40,25.125,996.337 
50,25.125,996.337 
60,25.125,996.337 
70,25.125,996.337 
80,25.125,996.337 
90,25.125,996.337 
100,25.125,996.337 
110,25.125,996.337 
120,25.125,996.337 
130,25.125,996.337 
140,25.125,996.337 
150,25.125,996.337 
160,25.125,996.337 
170,25.125,996.337 
180,25.125,996.337 
190,25.125,996.337 
200,25.125,996.337 
210,25.125,996.337 
220,25.125,996.337 
230,25.125,996.337 
240,25.125,996.337 
250,25.125,996.337 
260,25.125,996.337 
270,25.125,996.337 
280,25.125,996.337 
290,25.125,996.337 
300,25.125,996.337 
310,25.125,996.337 
320,25.125,996.337 
330,25.125,996.337 
340,25.125,996.337 
350,25.125,996.337 
360,25.125,996.337 
370,25.125,996.337 
380,25.125,996.337 
390,25.125,996.337 
400,25.125,996.337 
410,25.125,996.337 
420,25.125,1063.569 
430,25.125,1063.569 
440,25.125,1063.569 
450,25.125,1063.569 
460,25.125,1063.569 
470,25.125,1063.569 
480,25.125,1063.569 
490,25.125,1063.569 
500,25.125,1063.569 
510,25.125,1063.569 
520,25.125,1063.569 
530,25.125,1063.569 
540,25.125,1063.569 
