time,page 
0,996.337 
10,996.337 
20,996.337 
30,996.337 
40,996.337 
50,996.337 
60,996.337 
70,996.337 
80,996.337 
90,996.337 
100,996.337 
110,996.337 
120,996.337 
130,996.337 
140,996.337 
150,996.337 
160,996.337 
170,996.337 
180,996.337 
190,996.337 
200,996.337 
210,996.337 
220,996.337 
230,996.337 
240,996.337 
250,996.337 
260,996.337 
270,996.337 
280,996.337 
290,996.337 
300,996.337 
310,996.337 
320,996.337 
330,996.337 
340,996.337 
350,996.337 
360,996.337 
370,996.337 
380,996.337 
390,996.337 
400,996.337 
410,996.337 
420,1063.569 
430,1063.569 
440,1063.569 
450,1063.569 
460,1063.569 
470,1063.569 
480,1063.569 
490,1063.569 
500,1063.569 
510,1063.569 
520,1063.569 
530,1063.569 
540,1063.569 
