time,users,connected 
0,7,6 
10,12,12 
20,17,17 
30,16,17 
40,17,17 
50,21,21 
60,20,19 
70,27,26 
80,27,27 
90,30,30 
100,23,24 
110,25,25 
120,31,30 
130,52,51 
140,44,45 
150,39,39 
160,41,42 
170,28,28 
180,23,22 
190,48,48 
200,55,55 
210,53,54 
220,60,60 
230,58,62 
240,90,87 
250,94,94 
260,97,96 
270,100,100 
280,94,92 
290,95,94 
300,107,108 
310,147,150 
320,173,172 
330,175,170 
340,167,165 
350,186,180 
360,196,199 
370,240,240 
380,272,269 
390,263,257 
400,288,293 
410,270,269 
420,311,309 
430,323,324 
440,333,333 
450,353,355 
460,361,362 
470,372,372 
480,394,386 
490,435,433 
500,420,422 
510,414,410 
520,474,470 
530,452,449 
540,503,497 
