time,recvpackets@tsung_controller@ip-172-31-21-52 
10,137 
20,212 
30,212 
40,227 
50,261 
60,300 
70,300 
80,408 
90,408 
100,428 
110,428 
120,428 
130,430 
140,611 
150,611 
160,611 
170,611 
180,611 
190,611 
200,748 
210,786 
220,858 
230,926 
240,926 
250,1232 
260,1232 
270,1429 
280,1438 
290,1438 
300,1438 
310,1703 
320,1982 
330,2245 
340,2398 
350,2398 
360,2764 
370,2764 
380,3485 
390,3656 
400,3979 
410,3979 
420,3979 
430,4275 
440,4636 
450,4636 
460,4805 
470,4890 
480,4890 
490,5338 
500,5345 
510,5959 
520,5959 
530,6307 
540,6307 
