time,session 
40,0.4 
50,1 
60,0.7 
70,1.4 
80,1.1 
90,0.6 
100,1.3 
110,1.3 
120,0.8 
130,2.7 
140,1.3 
150,1.4 
160,1.8 
170,2.3 
180,2.2 
190,1.9 
200,2.6 
210,1.5 
220,1.4 
230,4.3 
240,3.1 
250,2.9 
260,4 
270,4 
280,4.1 
290,5.8 
300,5.6 
310,5.9 
320,5.8 
330,6.3 
340,5.9 
350,7.3 
360,8.5 
370,9 
380,7.6 
390,7 
400,7.3 
410,9 
420,7.8 
430,8.2 
440,9.6 
450,9.2 
460,11.3 
470,10.3 
480,15.2 
490,14 
500,16.1 
510,16.3 
520,17.2 
530,19.6 
540,23.1 
550,19.3 
560,21.5 
570,20.2 
580,22.1 
590,22.2 
600,23.2 
610,24.9 
620,26.5 
630,25.7 
640,28.7 
650,27 
660,28.4 
670,28.4 
680,30.3 
690,30.4 
700,27.3 
710,29.7 
720,29.2 
730,32.5 
740,36.2 
750,35.6 
760,39.4 
770,39.4 
780,30.2 
790,20.5 
800,22.7 
810,25.5 
820,9.5 
830,0.9 
832,0 
