time,users_count,finish_users_count 
0,1.2,0 
10,1.1,0 
20,0.8,0 
30,1.4,0 
40,0.8,0.4 
50,0.7,1 
60,1.1,0.7 
70,1.9,1.4 
80,1.5,1.1 
90,1.8,0.6 
100,1.8,1.3 
110,0.9,1.3 
120,2.2,0.8 
130,3.3,2.7 
140,1.7,1.3 
150,2.4,1.4 
160,2.3,1.8 
170,0.1,2.3 
180,4.2,2.2 
190,3.4,1.9 
200,3.5,2.6 
210,3.3,1.5 
220,4.8,1.4 
230,3.4,4.3 
240,5.3,3.1 
250,6.5,2.9 
260,6.4,4 
270,6.6,4 
280,6.3,4.1 
290,5.1,5.8 
300,9.5,5.6 
310,10.2,5.9 
320,11.6,5.8 
330,8.4,6.3 
340,10.2,5.9 
350,10.1,7.3 
360,14.9,8.5 
370,16.4,9 
380,15.9,7.6 
390,16.2,7 
400,17.8,7.3 
410,14.8,9 
420,17.8,7.8 
430,18.6,8.2 
440,19.4,9.6 
450,19.4,9.2 
460,19.4,11.3 
470,20.1,10.3 
480,22.7,15.2 
490,23.3,14 
500,22.7,16.1 
510,23.4,16.3 
520,24.1,17.2 
530,22.7,19.6 
540,30.6,23.1 
550,29.9,19.3 
560,33,21.5 
570,31.8,20.2 
580,32.9,22.1 
590,30.6,22.2 
600,33.6,23.2 
610,34.4,24.9 
620,31,26.5 
630,29.9,25.7 
640,30.7,28.7 
650,32.5,27 
660,33.5,28.4 
670,32.5,28.4 
680,32.8,30.3 
690,33.9,30.4 
700,32.3,27.3 
710,31.1,29.7 
720,4,29.2 
730,0,32.5 
740,0,36.2 
750,0,35.6 
760,0,39.4 
770,0,39.4 
780,0,30.2 
790,0,20.5 
800,0,22.7 
810,0,25.5 
820,0,9.5 
830,0,0.9 
832,0,0 
