time,users_count,finish_users_count 
0,12,0 
10,23,0 
20,31,0 
30,45,0 
40,53,4 
50,60,14 
60,71,21 
70,90,35 
80,105,46 
90,123,52 
100,141,65 
110,150,78 
120,172,86 
130,205,113 
140,222,126 
150,246,140 
160,269,158 
170,270,181 
180,312,203 
190,346,222 
200,381,248 
210,414,263 
220,462,277 
230,496,320 
240,549,351 
250,614,380 
260,678,420 
270,744,460 
280,807,501 
290,858,559 
300,953,615 
310,1055,674 
320,1171,732 
330,1255,795 
340,1357,854 
350,1458,927 
360,1607,1012 
370,1771,1102 
380,1930,1178 
390,2092,1248 
400,2270,1321 
410,2418,1411 
420,2596,1489 
430,2782,1571 
440,2976,1667 
450,3170,1759 
460,3364,1872 
470,3565,1975 
480,3792,2127 
490,4025,2267 
500,4252,2428 
510,4486,2591 
520,4727,2763 
530,4954,2959 
540,5260,3190 
550,5559,3383 
560,5889,3598 
570,6207,3800 
580,6536,4021 
590,6842,4243 
600,7178,4475 
610,7522,4724 
620,7832,4989 
630,8131,5246 
640,8438,5533 
650,8763,5803 
660,9098,6087 
670,9423,6371 
680,9751,6674 
690,10090,6978 
700,10413,7251 
710,10724,7548 
720,10764,7840 
730,10764,8165 
740,10764,8527 
750,10764,8883 
760,10764,9277 
770,10764,9671 
780,10764,9973 
790,10764,10178 
800,10764,10405 
810,10764,10660 
820,10764,10755 
830,10764,10764 
832,10764,10764 
