time,recvpackets@tsung_controller@ip-172-31-17-73 
10,258 
20,485.0 
30,1065.0 
40,1710.0 
50,1968.0 
60,2392.0 
70,2394.0 
80,2448.0 
90,2337.0 
100,2765.0 
110,3323.0 
120,3539.0 
130,3833.0 
140,3641.0 
150,3945.0 
160,4655.0 
170,4924.0 
180,4795.0 
190,4897.0 
200,4730.0 
210,5532.0 
220,6580.0 
230,7908.0 
240,7990.0 
250,8390.0 
260,9375.0 
270,10734.0 
280,12451.0 
290,13267.0 
300,13375.0 
310,14252.0 
320,15209.0 
330,16582.0 
340,16546.0 
350,17896.0 
360,17810.0 
370,19490.0 
380,19565.0 
390,21169.0 
400,21376.0 
410,22263.0 
420,22261.0 
430,24041.0 
440,24773.0 
450,24348.0 
460,27280.0 
470,28432.0 
480,29748.0 
490,31605.0 
500,33109.0 
510,34912.0 
520,35628.0 
530,36358.0 
540,38247.0 
550,39130.0 
560,39170.0 
570,42597.0 
580,44087.0 
590,47672.0 
600,47130.0 
610,50138.0 
620,50757.0 
630,53251.0 
640,52832.0 
650,53258.0 
660,52785.0 
670,52196.0 
680,51810.0 
690,52648.0 
700,54081.0 
710,5.5e4 
720,54975.0 
730,49168.0 
740,49235.0 
750,47549.0 
760,39177.0 
770,27260.0 
780,1.85e4 
790,14279.0 
800,12590.0 
810,11725.0 
820,5355.0 
830,503.0 
