time,sentpackets@tsung_controller@ip-172-31-17-73 
10,197 
20,274.0 
30,511.0 
40,860.0 
50,1001.0 
60,1227.0 
70,1218.0 
80,1350.0 
90,1211.0 
100,1508.0 
110,1768.0 
120,1806.0 
130,1996.0 
140,1996.0 
150,2084.0 
160,2384.0 
170,2545.0 
180,2461.0 
190,2666.0 
200,2546.0 
210,2973.0 
220,3497.0 
230,4126.0 
240,4148.0 
250,4496.0 
260,5010.0 
270,5686.0 
280,6519.0 
290,6771.0 
300,6760.0 
310,7468.0 
320,8039.0 
330,8871.0 
340,9181.0 
350,10549.0 
360,11189.0 
370,12975.0 
380,13356.0 
390,13696.0 
400,13997.0 
410,15248.0 
420,15188.0 
430,16304.0 
440,17208.0 
450,17061.0 
460,18904.0 
470,20136.0 
480,20862.0 
490,21384.0 
500,22664.0 
510,25158.0 
520,25352.0 
530,25493.0 
540,27745.0 
550,28066.0 
560,27943.0 
570,29499.0 
580,30747.0 
590,33810.0 
600,33405.0 
610,35252.0 
620,35226.0 
630,37595.0 
640,37487.0 
650,37314.0 
660,37245.0 
670,36762.0 
680,36905.0 
690,37262.0 
700,38572.0 
710,38601.0 
720,39171.0 
730,35590.0 
740,35565.0 
750,35396.0 
760,29596.0 
770,21942.0 
780,14653.0 
790,10563.0 
800,8485.0 
810,7650.0 
820,3591.0 
830,399.0 
