time,session 
40,33715.944 
50,49702.548 
60,52322.99077777777 
70,48541.53455555556 
80,54093.27427272727 
90,66007.929 
100,49454.90366666667 
110,45409.7138 
120,47373.54711764706 
130,46296.76088888889 
140,52840.8313125 
150,53796.34600000001 
160,53586.92014285715 
170,47078.500714285714 
180,52383.705720000005 
190,48827.94892857143 
200,48068.279428571426 
210,47333.61083333333 
220,52378.818052631585 
230,47812.44764705881 
240,50378.72916129032 
250,50523.562968750004 
260,46281.28369767441 
270,51726.10835849058 
280,47770.06971929823 
290,49219.64842857143 
300,48996.29578571429 
310,49163.25768852461 
320,49876.877545454554 
330,49223.14629508196 
340,50079.52320408162 
350,48721.638384615384 
360,50552.17355555555 
370,51903.225564705885 
380,54750.06465625 
390,52444.15725000002 
400,56110.83244117648 
410,56779.410043478245 
420,58401.427858823525 
430,61956.09160240963 
440,68259.96875294113 
450,70871.78022352936 
460,76382.16372000001 
470,81023.5485510204 
480,79751.19332638888 
490,80223.31777868854 
500,85674.94995714279 
510,84511.96809497205 
520,86783.51956896558 
530,90020.59199484534 
540,88503.68021052636 
550,93755.03233640546 
560,88016.28773333335 
570,82141.51829718873 
580,89207.96848245627 
590,87449.07909704649 
600,88442.77894166671 
610,85834.2674453442 
620,79827.54346899221 
630,82000.55187323956 
640,89272.29580069924 
650,84842.19992698416 
660,86143.9536978852 
670,86805.9240376176 
680,85019.33837829909 
690,84626.4918102894 
700,87290.85028037385 
710,86052.56647761202 
720,86815.15766006596 
730,84594.15719551285 
740,81613.46920579711 
750,82311.48698826983 
760,81633.6839933555 
770,91620.34072030654 
780,100348.58737610621 
790,109287.30009009011 
800,108196.86144520546 
810,106798.16840000001 
820,114613.037875 
830,139528.8825 
840,137663.11 
842,0 
