time,sentpackets@tsung_controller@ip-172-31-19-85 
10,3978 
20,519 
30,385 
40,385 
50,385 
60,385 
70,385 
80,385 
90,385 
100,385 
110,385 
120,385 
130,385 
140,385 
150,385 
160,385 
170,385 
180,385 
190,385 
200,385 
210,385 
220,385 
230,385 
240,385 
250,385 
260,385 
270,385 
280,385 
290,385 
300,385 
310,385 
320,385 
330,385 
340,385 
350,385 
360,385 
370,385 
380,385 
390,385 
400,385 
410,385 
420,385 
430,385 
440,385 
450,385 
460,385 
470,385 
480,385 
490,385 
500,385 
510,385 
520,385 
530,385 
540,385 
550,385 
560,385 
570,385 
580,385 
590,385 
600,385 
610,385 
620,385 
630,385 
640,385 
650,385 
660,385 
670,385 
680,385 
690,385 
700,385 
710,385 
720,385 
730,385 
740,385 
750,385 
760,385 
770,385 
780,385 
790,385 
800,385 
810,385 
820,385 
830,94 
840,46 
