time,connect,request 
0,1.013,7.255 
10,0.92,6.189 
20,0.761,5.607 
30,0.761,4.386 
40,0.761,4.386 
50,0.761,4.386 
60,0.761,4.311 
70,0.761,4.311 
80,0.759,4.311 
90,0.759,4.106 
100,0.759,4.007 
110,0.759,4.007 
120,0.759,4.007 
130,0.759,3.913 
140,0.759,3.913 
150,0.759,3.913 
160,0.759,3.913 
170,0.759,3.913 
180,0.759,3.913 
190,0.759,3.913 
200,0.759,3.913 
210,0.691,3.913 
220,0.691,3.913 
230,0.691,3.88 
240,0.691,3.867 
250,0.691,3.753 
260,0.691,3.753 
270,0.691,3.753 
280,0.691,3.725 
290,0.691,3.725 
300,0.691,3.725 
310,0.691,3.725 
320,0.691,3.725 
330,0.691,3.725 
340,0.691,3.725 
350,0.691,3.725 
360,0.684,3.725 
370,0.684,3.725 
380,0.684,0.341 
390,0.684,0.341 
400,0.67,0.331 
410,0.516,0.331 
420,0.447,0.331 
430,0.42,0.303 
440,0.42,0.303 
450,0.42,0.303 
460,0.42,0.303 
470,0.42,0.303 
480,0.42,0.303 
490,0.42,0.303 
500,0.42,0.303 
510,0.408,0.303 
520,0.408,0.303 
530,0.408,0.303 
540,0.408,0.303 
550,0.408,0.303 
560,0.408,0.303 
570,0.408,0.303 
580,0.408,0.303 
590,0.408,0.303 
600,0.408,0.303 
610,0.408,0.303 
620,0.408,0.303 
630,0.408,0.303 
640,0.408,0.303 
650,0.408,0.303 
660,0.408,0.303 
670,0.408,0.303 
680,0.408,0.303 
690,0.408,0.303 
700,0.408,0.303 
710,0.408,0.303 
720,0.408,0.303 
730,0.408,0.303 
740,0.408,0.303 
750,0.408,0.303 
760,0.408,0.303 
770,0.408,0.303 
780,0.408,0.303 
790,0.408,0.303 
800,0.408,0.303 
810,0.408,0.303 
820,0.408,0.303 
830,0.408,0.303 
840,0.408,0.303 
850,0.408,0.303 
860,0.408,0.303 
870,0.408,0.303 
880,0.408,0.303 
887,0.408,0.303 
