time,sentpackets@tsung_controller@ip-172-31-17-73 
10,431 
20,431 
30,448 
40,1094 
50,1378 
60,1378 
70,1378 
80,1378 
90,1378 
100,1597 
110,2130 
120,2130 
130,2130 
140,2130 
150,2130 
160,2130 
170,2397 
180,2459 
190,2820 
200,2879 
210,3341 
220,3994 
230,4511 
240,4665 
250,4737 
260,5329 
270,5329 
280,5891 
290,6063 
300,6757 
310,7751 
320,8745 
330,8998 
340,9238 
350,9238 
360,9238 
370,9238 
380,9238 
390,9238 
400,9311 
410,10177 
420,11055 
430,13521 
440,15118 
450,19243 
460,21508 
470,23578 
480,25358 
490,25358 
500,25358 
510,25358 
520,25358 
530,25358 
540,25582 
550,27543 
560,29311 
570,30015 
580,31402 
590,32408 
600,34029 
610,34162 
620,35141 
630,35630 
640,36287 
650,37529 
660,38266 
670,40548 
680,40723 
690,40723 
700,40831 
710,41211 
720,41211 
730,41211 
740,41211 
750,41211 
760,41211 
770,41211 
780,41211 
790,41211 
800,41211 
810,41211 
820,41211 
830,41211 
840,41211 
850,41211 
860,41211 
870,41211 
880,41211 
887,41211 
