time,size_sent,size_rcv 
0,2.9453125,110.60390625 
10,17.3296875,232.48125 
20,43.4703125,502.1921875 
30,89.13515625,920.0765625 
40,135.234375,1322.94921875 
50,153.9015625,1464.6046875 
60,157.38984375,1501.63359375 
70,206.465625,1962.0421875 
80,218.24375,2078.4578125 
90,271.78671875,2510.978125 
100,267.678125,2442.27734375 
110,264.63359375,2410.634375 
120,252.04140625,2322.6796875 
130,242.13828125,2223.66796875 
140,268.88359375,2509.99609375 
150,286.7078125,2691.16953125 
160,325.0546875,3119.88984375 
170,338.9015625,3069.64609375 
180,390.1109375,3696.878125 
190,436.4703125,4139.33125 
200,476.025,4575.0875 
210,548.3984375,5197.64453125 
220,645.05625,5916.8203125 
230,656.90390625,6139.8484375 
240,725.525,6829.0125 
250,748.5109375,7021.4625 
260,853.55625,8118.71953125 
270,958.3890625,8755.3125 
280,1014.43984375,9420.75234375 
290,1060.659375,9707.8328125 
300,1121.44453125,10758.1125 
310,1233.840625,11350.85703125 
320,1303.72890625,11996.153125 
330,1293.0734375,11751.9671875 
340,1232.06796875,11400.63515625 
350,1211.85546875,11389.05546875 
360,1218.02109375,11489.2859375 
370,1179.93984375,11198.20234375 
380,1196.16171875,11106.403125 
390,1176.63359375,10918.11171875 
400,1096.8125,9901.87734375 
410,1084.21171875,10709.65 
420,1169.40234375,10016.95234375 
430,1084.5609375,10276.21171875 
440,1164.2578125,9985.7046875 
450,1205.52734375,10033.5640625 
460,1348.3609375,10411.08515625 
470,1730.93203125,10434.20234375 
480,2196.634375,10989.259375 
490,2739.46796875,12112.3640625 
500,3185.24453125,11727.63515625 
510,3552.921875,12866.1828125 
520,3747.04453125,13299.753125 
530,3605.48125,13131.11484375 
540,3706.6328125,13842.0765625 
550,3476.571875,14104.4140625 
560,3350.884375,14013.08046875 
570,3252.4140625,14173.61328125 
580,3293.06171875,13918.7875 
590,3443.671875,14343.23984375 
600,3392.70859375,13909.65234375 
610,3918.27265625,14644.12421875 
620,4322.0828125,14680.14765625 
630,4607.790625,15544.51640625 
640,4160.88203125,15384.40078125 
650,4212.0015625,14683.03515625 
660,4127.50703125,15141.51328125 
670,3907.58671875,13984.3046875 
680,4153.73515625,15014.64765625 
690,4262.84609375,15528.9921875 
700,4398.35078125,15803.7 
710,4721.03828125,15646.359375 
720,4552.14609375,15612.24765625 
730,4104.39609375,12931.15078125 
740,3916.75546875,12366.26640625 
750,3041.99296875,11036.5421875 
760,2121.3703125,9598.04375 
