time,users_count,finish_users_count 
0,1.4,0 
10,0.6,0 
20,1.3,0 
30,1.6,0 
40,0.9,0.5 
50,0.2,1.1 
60,1.9,0.9 
70,1.4,0.8 
80,1.2,1.4 
90,1.9,1.2 
100,1.4,0.4 
110,1.1,1.6 
120,1.4,1.2 
130,2,2.2 
140,2.8,1.4 
150,2.4,1.3 
160,1.8,0.8 
170,1.6,2 
180,3.8,2.1 
190,4.2,2.1 
200,3.9,2.5 
210,4.5,1.8 
220,3.9,2.3 
230,3.8,3.7 
240,5.3,3.4 
250,5.9,5 
260,6.3,4 
270,5.5,3.7 
280,6,3.9 
290,5.9,5.6 
300,8,6.1 
310,9.5,5.3 
320,10.1,4.6 
330,9,7.2 
340,11.2,5.8 
350,11,4.9 
360,14.8,6 
370,17,4.1 
380,17.3,4.7 
390,13.6,3.4 
400,13.5,4.6 
410,15,7.5 
420,19.9,10.6 
430,19.3,18.4 
440,18.6,19.6 
450,20,18.4 
460,17.7,17.5 
470,20.5,15.6 
480,22.6,17.9 
490,26.1,17.1 
500,22.5,18.8 
510,24.8,19.5 
520,22.8,23 
530,23.3,23.3 
540,30,21.3 
550,34.1,21.9 
560,29.5,25.5 
570,29,25.3 
580,31.6,26.9 
590,32.8,27 
600,35.9,29.5 
610,38.5,31.8 
620,35.4,31.2 
630,35.4,32.4 
640,34,34.6 
650,34.9,33 
660,38,35.9 
670,40.4,36.4 
680,39.3,37.8 
690,36.8,33.3 
700,34.5,34 
710,34.8,37.7 
720,3.9,37.9 
730,0,37 
740,0,37 
750,0,33.1 
760,0,26.9 
770,0,20 
780,0,12.1 
790,0,11.9 
800,0,8 
810,0,2.5 
820,0,0 
830,0,0 
837,0,0.1 
