time,load@tsung_controller@ip-172-31-29-45 
0,0.19921875 
10,0.19921875 
20,0.19921875 
30,0.19921875 
40,0.19921875 
50,0.19921875 
60,0.19921875 
70,0.19921875 
80,0.19921875 
90,0.19921875 
100,0.19921875 
110,0.19921875 
120,0.19921875 
130,0.19921875 
140,0.19921875 
150,0.19921875 
160,0.19921875 
170,0.19921875 
180,0.19921875 
190,0.19921875 
200,0.19921875 
210,0.19921875 
220,0.19921875 
230,0.19921875 
240,0.19921875 
250,0.19921875 
260,0.19921875 
270,0.19921875 
280,0.19921875 
290,0.19921875 
300,0.19921875 
310,0.19921875 
320,0.19921875 
330,0.19921875 
340,0.19921875 
350,0.19921875 
360,0.19921875 
370,0.19921875 
380,0.19921875 
390,0.19921875 
400,0.30859375 
410,0.48828125 
420,0.578125 
430,0.62890625 
440,0.76171875 
450,1.03125 
460,1.03125 
470,1.109375 
480,1.109375 
490,1.109375 
500,1.171875 
510,1.171875 
520,1.171875 
530,1.171875 
540,1.171875 
550,1.171875 
560,1.171875 
570,1.19921875 
580,1.25 
590,1.2890625 
600,1.2890625 
610,1.2890625 
620,1.2890625 
630,1.2890625 
640,1.2890625 
650,1.2890625 
660,1.2890625 
670,1.2890625 
680,1.2890625 
690,1.2890625 
700,1.2890625 
710,1.2890625 
720,1.2890625 
730,1.2890625 
740,1.2890625 
750,1.2890625 
760,1.2890625 
770,1.2890625 
780,1.2890625 
790,1.2890625 
800,1.2890625 
810,1.2890625 
820,1.2890625 
830,1.2890625 
837,1.2890625 
