time,page 
0,1 
10,2.3 
20,5.8 
30,8.9 
40,11.7 
50,11.9 
60,13.2 
70,16.5 
80,22.6 
90,23.6 
100,27.4 
110,25.8 
120,29.9 
130,27.5 
140,31.3 
150,34.4 
160,39.8 
170,39.4 
180,43 
190,46.3 
200,54.5 
210,60.1 
220,66.1 
230,58.2 
240,63.4 
250,67.8 
260,66.1 
270,65.8 
280,72.6 
290,81.4 
300,104.5 
310,128.4 
320,152.1 
330,170.5 
340,187 
350,188.6 
360,192 
370,207 
380,227.7 
390,259.8 
400,297.1 
410,320.1 
420,312.1 
430,326.2 
440,324.8 
450,327.4 
460,350.7 
470,372.6 
480,394.9 
490,412.8 
500,429.3 
510,420.6 
520,474.2 
530,492.8 
540,494.8 
550,494.7 
560,511.2 
570,556 
580,588.4 
590,613 
600,665.4 
610,671 
620,674.6 
630,700.9 
640,722.9 
650,740.2 
660,719.2 
670,763.8 
680,786.9 
690,784.2 
700,787.9 
710,795.5 
720,760 
730,658.8 
740,553.1 
750,380.6 
760,198.3 
770,114.4 
780,52 
790,15.5 
800,4.5 
810,1.5 
820,0.6 
830,0.5 
834,0.1 
