time,load@tsung_controller@ip-172-31-29-45 
0,0.05078125 
10,0.05078125 
20,0.05078125 
30,0.05078125 
40,0.05078125 
50,0.05078125 
60,0.05078125 
70,0.05078125 
80,0.05078125 
90,0.05078125 
100,0.05078125 
110,0.05078125 
120,0.05078125 
130,0.05078125 
140,0.05078125 
150,0.05078125 
160,0.078125 
170,0.078125 
180,0.12890625 
190,0.12890625 
200,0.12890625 
210,0.12890625 
220,0.12890625 
230,0.12890625 
240,0.12890625 
250,0.12890625 
260,0.12890625 
270,0.12890625 
280,0.140625 
290,0.140625 
300,0.1796875 
310,0.23046875 
320,0.23046875 
330,0.30859375 
340,0.30859375 
350,0.37109375 
360,0.4609375 
370,0.62109375 
380,0.671875 
390,0.671875 
400,0.671875 
410,0.671875 
420,0.671875 
430,0.671875 
440,0.73828125 
450,0.9296875 
460,1.1796875 
470,1.1796875 
480,1.2890625 
490,1.3203125 
500,1.3203125 
510,1.3203125 
520,1.33984375 
530,1.37109375 
540,1.37109375 
550,1.37109375 
560,1.37109375 
570,1.390625 
580,1.390625 
590,1.390625 
600,1.390625 
610,1.390625 
620,1.390625 
630,1.390625 
640,1.390625 
650,1.390625 
660,1.390625 
670,1.390625 
680,1.390625 
690,1.390625 
700,1.390625 
710,1.390625 
720,1.390625 
730,1.390625 
740,1.390625 
750,1.390625 
760,1.390625 
770,1.390625 
780,1.390625 
790,1.390625 
800,1.390625 
810,1.390625 
820,1.390625 
830,1.390625 
834,1.390625 
