time,session 
40,0.2 
50,0.2 
60,0.3 
70,0.7 
80,1.3 
90,0.9 
100,1.4 
110,1.1 
120,0.9 
130,1.9 
140,1.5 
150,2.3 
160,1.8 
170,1.3 
180,1.4 
190,1.5 
200,1.6 
210,1.5 
220,2.7 
230,2 
240,2.4 
250,1.6 
260,2.8 
270,2.2 
280,2.4 
290,2.3 
300,4 
310,3 
320,3.6 
330,6.6 
340,9.1 
350,7.9 
360,8.4 
370,10 
380,9.4 
390,11.3 
400,10.6 
410,14.1 
420,12.9 
430,13.3 
440,18.3 
450,16.6 
460,15 
470,16.6 
480,19.4 
490,19.2 
500,20 
510,20 
520,18.5 
530,22.1 
540,20.2 
550,23.9 
560,24.8 
570,21 
580,26.2 
590,27.5 
600,31.6 
610,29.8 
620,30 
630,9.5 
640,16.6 
650,28.5 
660,33.5 
670,63.1 
680,48.6 
690,37.1 
700,30.1 
710,27.1 
720,36.4 
730,36.1 
740,40.6 
750,43 
760,33.3 
770,23.4 
780,4 
790,0 
800,12.2 
810,4.5 
820,1.7 
830,0.8 
840,0.2 
840,0 
