time,users,connected 
0,7,6 
10,15,15 
20,21,21 
30,33,32 
40,42,42 
50,49,49 
60,53,53 
70,62,62 
80,60,60 
90,73,71 
100,75,74 
110,84,84 
120,88,88 
130,80,81 
140,83,83 
150,77,77 
160,77,78 
170,92,91 
180,114,113 
190,145,144 
200,169,169 
210,196,196 
220,213,211 
230,231,233 
240,237,236 
250,287,282 
260,323,323 
270,355,352 
280,397,376 
290,435,394 
300,475,393 
310,528,436 
320,596,474 
330,647,483 
340,643,450 
350,661,460 
360,703,499 
370,761,531 
380,839,564 
390,874,566 
400,920,572 
410,924,552 
420,972,594 
430,1036,635 
440,1047,646 
450,1061,634 
460,1104,643 
470,1139,639 
480,1169,646 
490,1202,692 
500,1218,700 
510,1267,714 
520,1308,719 
530,1326,741 
540,1399,794 
550,1466,828 
560,1514,810 
570,1647,888 
580,1716,901 
590,1726,915 
600,1731,879 
610,1816,951 
620,1907,839 
630,2232,942 
640,2391,1146 
650,2286,900 
660,2129,890 
670,1939,974 
680,1880,1049 
690,1951,1078 
700,2104,1098 
710,2236,1121 
720,1998,807 
730,1637,549 
740,1231,422 
750,801,380 
760,468,302 
770,234,141 
780,194,193 
790,194,194 
800,72,35 
810,27,11 
820,10,5 
830,2,0 
840,0,0 
840,0,0 
