time,users,connected 
0,11,11 
10,18,18 
20,27,26 
30,37,37 
40,41,42 
50,43,43 
60,49,49 
70,58,58 
80,61,61 
90,67,66 
100,67,67 
110,77,77 
120,76,75 
130,85,85 
140,82,81 
150,88,88 
160,85,84 
170,90,89 
180,109,110 
190,128,127 
200,158,158 
210,181,180 
220,200,200 
230,211,212 
240,220,218 
250,241,240 
260,270,270 
270,291,288 
280,322,325 
290,365,361 
300,404,405 
310,471,468 
320,538,524 
330,632,603 
340,687,621 
350,757,727 
360,857,823 
370,967,903 
380,1072,928 
390,1147,955 
400,1238,993 
410,1290,986 
420,1320,969 
430,1338,970 
440,1336,987 
450,1330,980 
460,1354,968 
470,1379,980 
480,1448,1066 
490,1491,1044 
500,1557,1079 
510,1570,1057 
520,1605,1076 
530,1631,1084 
540,1683,1126 
550,1753,1148 
560,1848,1191 
570,1884,1161 
580,1893,1144 
590,1871,1111 
600,1929,1183 
610,1983,1268 
620,2055,1292 
630,2114,1306 
640,2118,1250 
650,2040,1153 
660,1958,1140 
670,1936,1125 
680,1976,1239 
690,2095,1387 
700,2160,1343 
710,2170,1242 
720,2012,1240 
730,1694,816 
740,1369,754 
750,1018,700 
760,736,572 
770,483,417 
780,265,245 
790,123,122 
800,44,44 
810,6,5 
820,3,3 
830,2,2 
840,2,2 
850,0,0 
854,0,0 
