time,freemem@tsung_controller@ip-172-31-29-6 
0,3510.734375 
10,3513.390625 
20,3509.1640625 
30,3505.87890625 
40,3496.25390625 
50,3493.703125 
60,3489.6953125 
70,3488.15234375 
80,3487.796875 
90,3485.9921875 
100,3484.3046875 
110,3484.5546875 
120,3477.90625 
130,3474.765625 
140,3475.4921875 
150,3472.47265625 
160,3472.36328125 
170,3470.81640625 
180,3469.7265625 
190,3471.30859375 
200,3468.64453125 
210,3458.09375 
220,3444.57421875 
230,3416.30078125 
240,3413.87109375 
250,3403.40625 
260,3404.45703125 
270,3403.29296875 
280,3404.984375 
290,3390.73046875 
300,3363.35546875 
310,3356.00390625 
320,3328.9140625 
330,3310.21875 
340,3293.91796875 
350,3274.25390625 
360,3221.58984375 
370,3201.16796875 
380,3183.9609375 
390,3140.33203125 
400,3121.19921875 
410,3109.40234375 
420,3090.015625 
430,3082.7734375 
440,3087.89453125 
450,3084.78125 
460,3087.02734375 
470,3087.28515625 
480,3084.5078125 
490,3087.90625 
500,3055.1640625 
510,3048.0625 
520,3047.14453125 
530,3035.43359375 
540,3026.953125 
550,3029.6328125 
560,3024.15625 
570,2995.4140625 
580,2992.6796875 
590,2993.5390625 
600,2995.76953125 
610,2985.91015625 
620,2985.4375 
630,2980.66796875 
640,2989.69921875 
650,2987.07421875 
660,2970.9140625 
670,2979.9765625 
680,2982.625 
690,2982.0703125 
700,2971.66015625 
710,2962.0390625 
720,2961.6015625 
730,2968.23046875 
740,2987.1875 
750,3000.66796875 
760,3006.1875 
770,3036.87109375 
780,3058.41015625 
790,3105.60546875 
800,3177.96875 
810,3199.63671875 
820,3208.36328125 
830,3215.203125 
840,3215.71484375 
850,3215.73046875 
