time,connect,request 
0,14.49,37.25 
10,14.49,908.585 
20,14.49,908.585 
30,14.49,908.585 
40,14.49,908.585 
50,14.49,908.585 
60,14.49,908.585 
70,14.49,908.585 
80,14.49,908.585 
90,14.49,908.585 
100,14.557,908.585 
110,14.557,908.585 
120,36.251,908.585 
130,36.251,908.585 
140,36.251,908.585 
150,36.251,908.585 
160,36.251,908.585 
170,36.251,908.585 
180,36.251,908.585 
190,36.251,908.585 
200,36.251,908.585 
210,47.638,908.585 
220,47.638,908.585 
230,47.638,908.585 
240,47.638,3237.64 
250,47.638,3402.252 
260,47.638,3402.252 
270,47.638,3402.252 
280,47.638,3402.252 
290,47.638,3402.252 
300,47.638,3402.252 
310,47.638,3402.252 
320,47.638,3402.252 
330,47.638,3402.252 
340,47.638,3402.252 
350,47.638,3402.252 
360,47.638,3402.252 
370,47.638,3402.252 
380,47.638,3402.252 
390,47.638,3402.252 
400,47.638,3519.43 
410,48.083,3613.238 
420,48.083,3613.238 
430,48.083,3807.314 
440,48.083,3807.314 
450,48.083,3899.81 
460,48.083,3899.81 
470,48.083,3899.81 
480,48.083,3899.81 
490,48.083,3899.81 
500,48.083,3899.81 
510,48.083,3899.81 
520,48.083,3899.81 
530,48.083,3899.81 
540,48.083,3899.81 
550,48.083,3899.81 
560,209.098,3899.81 
570,209.098,3899.81 
580,209.098,3899.81 
590,209.098,3899.81 
600,209.098,4273.625 
610,209.098,4299.122 
620,209.098,4299.122 
630,209.098,4299.122 
640,209.098,4299.122 
650,209.098,4299.122 
660,389.717,4299.122 
670,389.717,4299.122 
680,389.717,4299.122 
690,389.717,4299.122 
700,389.717,4299.122 
710,389.717,4299.122 
720,389.717,4556.298 
730,389.717,4845.353 
740,389.717,4845.353 
750,389.717,4845.353 
760,389.717,4845.353 
770,389.717,4845.353 
780,389.717,60000.653 
790,389.717,60000.653 
800,389.717,60000.653 
810,389.717,60000.653 
820,389.717,60000.653 
830,389.717,60000.653 
840,389.717,60000.653 
848,389.717,60000.653 
