time,session 
40,46492.108 
50,48527.212 
60,58582.075 
70,71700.089 
80,71700.089 
90,71700.089 
100,71700.089 
110,71700.089 
120,71700.089 
130,72977.873 
140,72977.873 
150,76857.911 
160,76857.911 
170,76857.911 
180,87548.039 
190,87548.039 
200,114212.638 
210,114212.638 
220,114212.638 
230,114212.638 
240,114212.638 
250,114212.638 
260,114212.638 
270,114212.638 
280,114212.638 
290,114212.638 
300,114212.638 
310,114212.638 
320,114212.638 
330,114212.638 
340,114212.638 
350,114212.638 
360,114212.638 
370,114212.638 
380,114212.638 
390,114212.638 
400,114212.638 
410,114212.638 
420,114212.638 
430,114212.638 
440,114212.638 
450,114212.638 
460,114212.638 
470,114212.638 
480,114212.638 
490,125689.193 
500,125689.193 
510,127023.874 
520,127023.874 
530,127023.874 
540,127023.874 
550,127023.874 
560,127023.874 
570,127023.874 
580,127023.874 
590,127023.874 
600,127023.874 
610,142687.757 
620,142967.908 
630,142967.908 
640,142967.908 
651,142967.908 
660,142967.908 
670,142967.908 
680,142967.908 
690,142967.908 
700,142967.908 
710,142967.908 
720,142967.908 
730,142967.908 
740,142967.908 
750,150568.705 
760,150568.705 
770,150568.705 
780,150568.705 
790,150568.705 
800,150568.705 
810,150568.705 
820,150568.705 
822,150568.705 
