time,page 
0,37.25 
10,908.585 
20,908.585 
30,908.585 
40,908.585 
50,908.585 
60,908.585 
70,908.585 
80,908.585 
90,908.585 
100,908.585 
110,908.585 
120,908.585 
130,908.585 
140,908.585 
150,908.585 
160,908.585 
170,908.585 
180,908.585 
190,908.585 
200,908.585 
210,908.585 
220,908.585 
230,908.585 
240,3237.64 
250,3454.456 
260,3454.456 
270,3454.456 
280,3454.456 
290,3454.456 
300,3454.456 
310,3454.456 
320,3454.456 
330,3454.456 
340,3454.456 
350,4386.756 
360,5158.209 
370,5314.436 
380,5984.854 
390,5984.854 
400,6069.766 
410,6461.152 
420,6461.152 
430,6461.152 
440,6461.152 
450,6964.966 
460,7030.411 
470,7030.411 
480,7030.411 
490,7030.411 
500,7030.411 
510,7030.411 
520,7030.411 
530,7030.411 
540,7030.411 
550,7030.411 
560,7030.411 
570,7030.411 
580,7030.411 
590,7030.411 
600,7030.411 
610,7712.958 
620,7712.958 
630,7712.958 
640,7712.958 
650,7712.958 
660,7712.958 
670,7712.958 
680,7712.958 
690,7712.958 
700,7712.958 
710,7712.958 
720,7733.697 
730,8396.143 
740,8396.143 
750,8396.143 
760,8396.143 
770,8396.143 
780,62438.274 
790,62438.274 
800,62438.274 
810,62438.274 
820,62438.274 
830,62438.274 
840,62438.274 
848,62438.274 
