time,users_count,finish_users_count 
0,10,0 
10,16,0 
20,22,0 
30,32,1 
40,37,4 
50,50,8 
60,66,15 
70,81,23 
80,104,31 
90,116,39 
100,133,52 
110,141,67 
120,157,85 
130,187,104 
140,206,119 
150,234,135 
160,252,145 
170,261,158 
180,287,182 
190,331,206 
200,372,232 
210,407,246 
220,438,263 
230,474,289 
240,531,332 
250,593,367 
260,657,395 
270,723,416 
280,787,443 
290,840,478 
300,896,524 
310,996,580 
320,1092,643 
330,1214,705 
340,1326,753 
350,1425,792 
360,1558,824 
370,1714,861 
380,1871,890 
390,2013,942 
400,2184,1005 
410,2348,1090 
420,2528,1200 
430,2718,1337 
440,2909,1516 
450,3084,1722 
460,3279,1918 
470,3468,2097 
480,3676,2287 
490,3924,2452 
500,4146,2638 
510,4371,2839 
520,4604,3026 
530,4818,3228 
540,5118,3468 
550,5446,3717 
560,5664,3931 
570,6005,4176 
580,6287,4413 
590,6597,4646 
600,6910,4933 
610,7277,5249 
620,7607,5539 
630,7962,5842 
640,8283,6169 
650,8567,6464 
660,8837,6762 
670,9152,7086 
680,9534,7457 
690,9920,7764 
700,10287,8110 
710,10572,8418 
720,10660,8721 
730,10660,9024 
740,10660,9347 
750,10660,9647 
760,10660,9898 
770,10660,10138 
780,10660,10344 
790,10660,10501 
800,10660,10608 
810,10660,10655 
820,10660,10658 
830,10660,10659 
840,10660,10659 
848,10660,10660 
