time,freemem@tsung_controller@ip-172-31-17-128 
0,3506.171875 
10,3505.734375 
20,3504.36328125 
30,3503.17578125 
40,3500.41796875 
50,3498.51953125 
60,3497.4453125 
70,3496.70703125 
80,3496.484375 
90,3491.16015625 
100,3486.4296875 
110,3481.44140625 
120,3475.359375 
130,3475.359375 
140,3472.1796875 
150,3472.1796875 
160,3472.1796875 
170,3472.1640625 
180,3471.421875 
190,3467.82421875 
200,3463.3203125 
210,3462.73828125 
220,3462.6015625 
230,3451.59375 
240,3442.765625 
250,3439.48828125 
260,3439.11328125 
270,3422.20703125 
280,3403.90625 
290,3403.90625 
300,3400.828125 
310,3399.5078125 
320,3388.75390625 
330,3371.265625 
340,3354.51953125 
350,3332.828125 
360,3331.0078125 
370,3293.98046875 
380,3289.11328125 
390,3261.05078125 
400,3238.28125 
410,3215.234375 
420,3207.4140625 
430,3188.3515625 
440,3181.50390625 
450,3181.50390625 
460,3181.50390625 
470,3180.5390625 
480,3177.81640625 
490,3143.37890625 
500,3132.57421875 
510,3126.40234375 
520,3118.75 
530,3116.25390625 
540,3098.77734375 
550,3093.97265625 
560,3093.93359375 
570,3082.078125 
580,3063.26953125 
590,3047.3984375 
600,3037.796875 
610,3017.0703125 
620,3017.0703125 
630,3017.0703125 
640,3012.6484375 
650,2996.08984375 
660,2993.8125 
670,2993.8125 
680,2993.8125 
690,2993.8125 
700,2993.8125 
710,2993.8125 
720,2977.85546875 
730,2977.85546875 
740,2977.85546875 
750,2977.85546875 
760,2977.85546875 
770,2977.85546875 
780,2977.85546875 
790,2977.85546875 
