time,sentpackets@tsung_controller@ip-172-31-17-128 
10,988 
20,675 
30,448 
40,448 
50,448 
60,448 
70,448 
80,448 
90,448 
100,448 
110,448 
120,448 
130,448 
140,448 
150,448 
160,448 
170,448 
180,448 
190,448 
200,448 
210,448 
220,448 
230,448 
240,448 
250,448 
260,448 
270,448 
280,448 
290,448 
300,448 
310,448 
320,448 
330,448 
340,448 
350,448 
360,448 
370,448 
380,448 
390,448 
400,448 
410,448 
420,448 
430,448 
440,448 
450,448 
460,448 
470,448 
480,448 
490,448 
500,448 
510,448 
520,448 
530,448 
540,448 
550,448 
560,448 
570,448 
580,448 
590,448 
600,448 
610,448 
620,448 
630,448 
640,448 
650,448 
660,448 
670,448 
680,448 
690,448 
700,448 
710,448 
720,448 
730,448 
740,448 
750,448 
760,448 
770,448 
780,448 
790,448 
