time,connect,request 
0,22.371,86.126 
10,22.371,102.451 
20,22.371,125.112 
30,22.371,193.945 
40,22.371,193.945 
50,22.371,195.398 
60,31.679,195.398 
70,31.679,195.398 
80,31.679,195.398 
90,31.679,198.292 
100,31.679,243.344 
110,31.679,243.344 
120,31.679,243.344 
130,31.679,339.965 
140,31.679,339.965 
150,31.679,339.965 
160,31.679,339.965 
170,31.679,339.965 
180,31.679,339.965 
190,31.679,1552.44 
200,31.679,1552.44 
210,31.679,1552.44 
220,31.679,1552.44 
230,31.679,1552.44 
240,31.679,1552.44 
250,31.679,1552.44 
260,31.679,1552.44 
270,31.679,1552.44 
280,31.679,1552.44 
290,31.679,1552.44 
300,31.679,1552.44 
310,31.679,1552.44 
320,31.679,1552.44 
330,31.679,1749.257 
340,31.679,1944.525 
350,31.679,2136.806 
360,38.423,2182.993 
370,38.423,2962.532 
380,38.423,3718.301 
390,38.423,3718.301 
400,38.423,3817.287 
410,38.423,3817.287 
420,38.423,3817.287 
430,38.423,3817.287 
440,38.423,3817.287 
450,38.423,4051.961 
