time,page 
0,146.044 
10,148.06 
20,148.06 
30,201.054 
40,206.355 
50,226.31 
60,226.31 
70,226.31 
80,237.356 
90,299.65 
100,299.65 
110,299.65 
120,299.65 
130,426.314 
140,426.314 
150,426.314 
160,426.314 
170,426.314 
180,426.314 
190,1552.44 
200,1552.44 
210,1552.44 
220,1552.44 
230,1552.44 
240,1552.44 
250,1552.44 
260,1552.44 
270,1552.44 
280,1552.44 
290,1552.44 
300,1669.528 
310,1669.528 
320,2127.083 
330,3122.797 
340,3560.526 
350,3903.697 
360,3903.697 
370,5064.4 
380,6475.862 
390,6844.317 
400,6844.317 
410,6844.317 
420,6844.317 
430,6844.317 
440,6844.317 
450,6962.274 
