time,load@tsung_controller@ip-172-31-17-128 
0,0.01953125 
10,0.01953125 
20,0.01953125 
30,0.01953125 
40,0.01953125 
50,0.01953125 
60,0.01953125 
70,0.01953125 
80,0.01953125 
90,0.01953125 
100,0.01953125 
110,0.01953125 
120,0.01953125 
130,0.01953125 
140,0.01953125 
150,0.01953125 
160,0.01953125 
170,0.01953125 
180,0.01953125 
190,0.01953125 
200,0.01953125 
210,0.01953125 
220,0.01953125 
230,0.01953125 
240,0.01953125 
250,0.01953125 
260,0.01953125 
270,0.078125 
280,0.078125 
290,0.21875 
300,0.21875 
310,0.21875 
320,0.21875 
330,0.21875 
340,0.21875 
350,0.2890625 
360,0.2890625 
370,0.2890625 
380,0.3984375 
390,0.3984375 
400,0.3984375 
410,0.3984375 
420,0.48046875 
430,0.640625 
440,0.69140625 
450,0.890625 
460,1.05859375 
470,1.05859375 
480,1.05859375 
490,1.05859375 
500,1.08984375 
510,1.21875 
520,1.26953125 
530,1.37890625 
540,1.3984375 
550,1.3984375 
560,1.3984375 
570,1.3984375 
580,1.4609375 
590,1.4609375 
600,1.48046875 
610,1.48046875 
620,1.48046875 
630,1.48046875 
640,1.48046875 
650,1.48046875 
660,1.48046875 
670,1.48046875 
680,1.48046875 
690,1.48046875 
700,1.48046875 
710,1.48046875 
720,1.48046875 
730,1.48046875 
740,1.48046875 
750,1.48046875 
760,1.48046875 
770,1.48046875 
780,1.48046875 
790,1.48046875 
800,1.48046875 
810,1.48046875 
818,1.48046875 
