time,connect,request 
0,0.7,0.8 
10,0.8,2.7 
20,2.7,7.8 
30,5.8,16 
40,7.3,20.7 
50,9.2,25.6 
60,9.8,24.7 
70,10.1,26 
80,9.8,29.8 
90,16.7,45.9 
100,18.6,51.8 
110,19.9,54.7 
120,18.2,47.3 
130,15.5,41.4 
140,12.9,33.9 
150,11.8,33.3 
160,16.6,44.8 
170,17.5,48.7 
180,19.7,53.3 
190,23.3,60.8 
200,26.4,73.4 
210,29.8,84.5 
220,38.4,102.8 
230,37,98.7 
240,40.2,108.4 
250,41.9,114.7 
260,46,126.1 
270,53.9,148.8 
280,57.9,160.6 
290,63.6,168.4 
300,65.2,177.2 
310,72.3,194.9 
320,74.7,210.5 
330,93.8,252 
340,98.2,270.6 
350,106.1,287.1 
360,110.1,297.4 
370,113.7,305.4 
380,121.7,325 
390,132.5,354 
400,133.8,351.3 
410,145,377.8 
420,172.6,438.4 
430,173.3,414.6 
440,171.8,413.1 
450,159.4,401.8 
460,170,419.8 
470,199.6,487 
480,235.5,544.5 
490,263.9,605.8 
500,277.5,618 
510,302.8,657.2 
520,309.4,679.4 
530,371.5,848.9 
540,385.8,836.9 
550,373.9,780.5 
560,332.9,710.5 
570,294.3,645.2 
580,334.1,698.8 
590,375.3,790.9 
600,397.9,830.4 
610,386.1,801.9 
620,396.8,827.1 
630,391.5,814.5 
640,385.6,822.8 
650,349.2,744.2 
660,367,772.6 
670,348.6,750.8 
680,347.3,790.9 
690,357.7,777.8 
700,391.2,848 
710,401.9,886.2 
720,403.4,873.8 
730,410.2,911.9 
740,364.2,813.1 
750,238.8,522 
760,98.5,225 
770,25.9,67.2 
780,6.7,16.1 
790,1.9,5.7 
800,0.7,1.5 
810,0.3,0.6 
813,0,0 
