time,session 
40,44680.03 
50,47657.203 
60,51978.32728571428 
70,46790.68618181817 
80,47946.57688888889 
90,47475.284400000004 
100,45388.84559999999 
110,42835.40763157895 
120,49949.9139375 
130,48650.474235294125 
140,52848.28455555556 
150,56172.746750000006 
160,59948.22928571428 
170,48931.451368421054 
180,48639.39291666667 
190,50265.15668181817 
200,50979.55695238094 
210,52211.71022222223 
220,51554.84248000001 
230,49075.42293939394 
240,46024.05582608696 
250,52464.381580645146 
260,51042.93712 
270,55177.111428571436 
280,57125.228 
290,59218.34225 
300,60020.96870000001 
310,65137.20800000001 
320,69939.2063333333 
330,74295.93672413795 
340,75941.10402777775 
350,79898.3470227273 
360,79375.18382608694 
370,84192.42462068965 
380,83972.47070833335 
390,89167.80318181818 
400,91163.0676388889 
410,89686.33970399998 
420,87482.90478861792 
430,84865.88350375937 
440,80760.16356707325 
450,80126.3558156682 
460,78122.87201499996 
470,78464.0530294117 
480,76128.60623178806 
490,77330.8261559139 
500,73065.67628143715 
510,74934.71118681318 
520,73829.07282710283 
530,72641.21127802691 
540,71179.77287234043 
550,69629.50034939763 
560,70166.63193253965 
570,69303.3711296296 
581,68699.41213692943 
590,67578.63877021272 
600,67947.41239015157 
610,67550.74289735098 
620,65821.28634296029 
630,67801.86896959467 
640,68920.81650390629 
650,71480.19151131221 
660,67940.57787142851 
670,67382.47176717562 
680,67602.59413486846 
690,68689.95056711417 
700,69215.88191515149 
710,70491.93702713175 
720,72846.55320087339 
730,66458.52201339285 
740,65804.43395131081 
750,66055.23396507937 
760,68267.88074452544 
770,70702.78041666666 
780,75972.13307777779 
790,86517.90920155033 
800,96392.88608333336 
810,102423.35304166666 
820,107323.18625 
830,0 
840,0 
850,131999.55 
860,0 
870,153123.201 
874,0 
