time,session 
40,0.1 
50,0.6 
60,0.7 
70,1.1 
80,0.9 
90,1 
100,1.5 
110,1.9 
120,1.6 
130,1.7 
140,1.8 
150,0.8 
160,0.7 
170,1.9 
180,1.2 
190,2.2 
200,2.1 
210,1.8 
220,2.5 
230,3.3 
240,2.3 
250,3.1 
260,2.5 
270,3.5 
280,3.5 
290,3.6 
300,2 
310,3.1 
320,3.6 
330,2.9 
340,3.6 
350,4.4 
360,4.6 
370,5.8 
380,4.8 
390,5.5 
400,7.2 
410,12.5 
420,12.3 
430,13.3 
440,16.4 
450,21.7 
460,20 
470,17 
480,15.1 
490,18.6 
500,16.7 
510,18.2 
520,21.4 
530,22.3 
540,23.5 
550,24.9 
560,25.2 
570,21.6 
581,24.1 
590,23.5 
600,26.4 
610,30.2 
620,27.7 
630,29.6 
640,25.6 
650,22.1 
660,21 
670,26.2 
680,30.4 
690,29.8 
700,33 
710,25.8 
720,22.9 
730,22.4 
740,26.7 
750,31.5 
760,27.4 
770,27.6 
780,27 
790,12.9 
800,8.4 
810,2.4 
820,0.4 
830,0 
840,0 
850,0.2 
860,0 
870,0.2 
874,0 
