time,page 
0,8.03 
10,7.397 
20,7.397 
30,6.758 
40,6.758 
50,6.58 
60,6.58 
70,6.58 
80,6.58 
90,6.229 
100,6.229 
110,6.229 
120,6.229 
130,6.229 
140,6.229 
150,6.229 
160,6.229 
170,6.229 
180,6.229 
190,6.229 
200,6.229 
210,6.229 
220,6.229 
230,6.191 
240,6.191 
250,6.07 
260,6.07 
270,6.07 
280,6.07 
290,6.07 
300,6.07 
310,0.991 
320,0.928 
330,0.9 
340,0.9 
350,0.866 
360,0.866 
370,0.866 
380,0.83 
390,0.823 
400,0.803 
410,0.803 
420,0.803 
430,0.803 
440,0.777 
450,0.777 
460,0.777 
470,0.777 
480,0.777 
490,0.777 
500,0.777 
510,0.777 
520,0.777 
530,0.777 
540,0.777 
550,0.777 
560,0.777 
570,0.777 
581,0.777 
590,0.777 
600,0.777 
610,0.777 
620,0.777 
630,0.777 
640,0.777 
650,0.777 
660,0.777 
670,0.777 
680,0.777 
690,0.777 
700,0.777 
710,0.777 
720,0.777 
730,0.777 
740,0.777 
750,0.777 
760,0.777 
770,0.777 
780,0.777 
790,0.777 
800,0.777 
810,0.777 
820,0.777 
830,0.777 
840,0.777 
850,0.777 
860,0.777 
870,0.777 
874,0.777 
