time,page 
0,0.9 
10,1.2 
20,5 
30,8.2 
40,14.8 
50,17.4 
60,20.9 
70,21.4 
80,29 
90,30.2 
100,34.6 
110,31.9 
120,30.9 
130,26.1 
140,24.5 
150,26 
160,33.4 
170,37 
180,41.9 
190,43.1 
200,49.2 
210,52.2 
220,55 
230,63.6 
240,68.2 
250,80.2 
260,83.1 
270,88.8 
280,83.5 
290,77 
300,86.5 
310,92.7 
320,101.9 
330,112.4 
340,124.7 
350,138.1 
360,163.6 
370,164.4 
380,177.8 
390,222 
400,274.2 
410,294.2 
420,324.6 
430,349.3 
440,360.1 
450,359.7 
460,347.3 
470,348.6 
480,367.5 
490,370.5 
500,409.4 
510,447.5 
520,465 
530,467.9 
540,487 
550,452.2 
560,501.8 
570,512.4 
581,564.7 
590,524.8 
600,533.9 
610,539.6 
620,531.4 
630,530.1 
640,542 
650,542.3 
660,517.3 
670,529.6 
680,541.6 
690,544.6 
700,546.3 
710,564.5 
720,573 
730,555 
740,537.9 
750,415.2 
760,271 
770,164.3 
780,130.9 
790,78.9 
800,35.6 
810,7.7 
820,1.3 
830,0.9 
840,0.7 
850,1.2 
860,0.5 
870,0.7 
874,0 
