time,users_count,finish_users_count 
0,8,0 
10,14,0 
20,25,0 
30,31,0 
40,40,1 
50,51,7 
60,73,14 
70,89,25 
80,118,34 
90,130,44 
100,144,59 
110,144,78 
120,159,94 
130,177,111 
140,196,129 
150,224,137 
160,246,144 
170,261,163 
180,293,175 
190,325,197 
200,357,218 
210,389,236 
220,425,261 
230,466,294 
240,524,317 
250,577,348 
260,635,373 
270,695,408 
280,755,443 
290,795,479 
300,887,499 
310,991,530 
320,1083,566 
330,1189,595 
340,1304,631 
350,1400,675 
360,1550,721 
370,1705,779 
380,1865,827 
390,2022,882 
400,2188,954 
410,2332,1079 
420,2490,1202 
430,2691,1335 
440,2882,1499 
450,3069,1716 
460,3257,1916 
470,3454,2086 
480,3675,2237 
490,3910,2423 
500,4130,2590 
510,4380,2772 
520,4617,2986 
530,4849,3209 
540,5122,3444 
550,5405,3693 
560,5694,3945 
570,5984,4161 
581,6247,4402 
590,6429,4637 
600,6659,4901 
610,6972,5203 
620,7320,5480 
630,7658,5776 
640,7944,6032 
650,8151,6253 
660,8293,6463 
670,8497,6725 
680,8840,7029 
690,9230,7327 
700,9615,7657 
710,9961,7915 
720,10015,8144 
730,10015,8368 
740,10015,8635 
750,10015,8950 
760,10015,9224 
770,10015,9500 
780,10015,9770 
790,10015,9899 
800,10015,9983 
810,10015,10007 
820,10015,10011 
830,10015,10011 
840,10015,10011 
850,10015,10013 
860,10015,10013 
870,10015,10015 
874,10015,10015 
