time,freemem@tsung_controller@ip-172-31-30-146 
0,3514.00390625 
10,3515.92578125 
20,3515.92578125 
30,3515.92578125 
40,3515.92578125 
50,3515.92578125 
60,3515.92578125 
70,3515.92578125 
80,3515.92578125 
90,3515.92578125 
100,3515.92578125 
110,3515.92578125 
120,3515.92578125 
130,3515.92578125 
140,3515.92578125 
150,3515.92578125 
160,3515.92578125 
170,3515.92578125 
180,3515.92578125 
190,3515.92578125 
200,3515.92578125 
210,3515.92578125 
220,3515.92578125 
230,3515.92578125 
240,3515.92578125 
250,3515.92578125 
260,3515.92578125 
270,3515.92578125 
280,3515.92578125 
290,3515.92578125 
300,3515.92578125 
310,3515.92578125 
320,3515.92578125 
330,3515.92578125 
340,3515.92578125 
350,3515.92578125 
360,3515.92578125 
370,3515.92578125 
380,3515.92578125 
390,3515.92578125 
400,3515.92578125 
410,3515.92578125 
420,3515.92578125 
430,3515.92578125 
440,3515.92578125 
450,3515.92578125 
460,3515.92578125 
470,3515.92578125 
480,3515.92578125 
490,3515.92578125 
500,3515.92578125 
510,3515.92578125 
520,3515.92578125 
530,3515.92578125 
540,3515.92578125 
550,3515.92578125 
560,3515.92578125 
570,3515.92578125 
581,3515.92578125 
590,3515.92578125 
600,3515.92578125 
610,3515.92578125 
620,3515.92578125 
630,3515.92578125 
640,3515.92578125 
650,3515.92578125 
660,3515.92578125 
670,3515.92578125 
680,3515.92578125 
690,3515.92578125 
700,3515.92578125 
710,3515.92578125 
720,3515.92578125 
730,3515.92578125 
740,3515.92578125 
750,3515.92578125 
760,3515.92578125 
770,3515.92578125 
780,3515.92578125 
790,3515.92578125 
800,3515.92578125 
810,3515.92578125 
820,3515.92578125 
830,3515.92578125 
840,3515.92578125 
850,3515.92578125 
860,3515.92578125 
870,3515.92578125 
